time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	ultrasonic_alt	baro_alt	flight_mode
74	11	10	4	0.001054995	-0.01470144	-1.039518	0	12.48	4003	0	0	0	0.02	-0.1284711	3
166	1	10	3	0.01915431	-0.00986512	-1.042697	0	12.48	4003	0	0	0	0.02	-0.1396934	3
235	10	5	6	0.02694929	-0.0125626	-1.048077	0	12.48	4002	0	0	0	0.02	-0.1512111	3
388	8	9	1	0.01163859	-0.01640824	-1.051929	0	12.53	4003	0	0	0	0.02	-0.1601876	3
452	7	8	4	0.01123707	-0.01307903	-1.05413	0	12.53	4004	0	0	0	0.02	-0.1621433	3
516	0	17	-3	0.01895842	-0.01703842	-1.056576	0	12.53	4003	0	0	0	0.02	-0.1666068	3
700	11	2	5	0.01686499	-0.01132887	-1.067825	0	12.53	4003	0	0	0	0.02	-0.1742796	3
743	11	9	-1	0.02608988	-0.01262901	-1.06917	0	12.53	4003	0	0	0	0.02	-0.1744734	3
904	12	2	5	0.02078147	-0.02359635	-1.074795	0	12.53	4003	0	0	0	0.02	-0.1812094	3
1013	16	15	1	0.02142574	-0.006753015	-1.07828	0	12.53	4002	0	0	0	0.02	-0.1909249	3
1172	0	7	0	0.006436239	0.001722856	-1.085066	0	12.53	4004	0	0	0	0.02	-0.2009016	3
1241	7	11	-2	-0.007872174	-0.01126932	-1.088611	0	12.53	4003	0	0	0	0.02	-0.2015745	3
1373	5	10	6	0.005155652	-0.008774912	-1.091424	0	12.53	4003	0	0	0	0.02	-0.2056524	3
1412	1	4	5	0.007470821	-0.00313773	-1.09393	0	12.53	4002	0	0	0	0.02	-0.2086118	3
1603	5	-2	6	0.01303761	-0.001855353	-1.101205	0	12.53	4002	0	0	0	0.02	-0.2068377	3
1691	14	7	0	0.007523494	-0.004708332	-1.105852	0	12.53	4002	0	0	0	0.02	-0.2034009	3
1741	3	12	9	0.01195248	-0.003673526	-1.110192	0	12.53	4004	0	0	0	0.02	-0.20009	3
1816	8	4	7	0.01945402	-0.01434624	-1.112455	0	12.53	4003	0	0	0	0.02	-0.2002359	3
1960	6	6	4	0.01508946	-0.01523375	-1.117712	0	12.53	4004	0	0	0	0.02	-0.2027845	3
2010	2	14	0	0.02372215	-0.0161379	-1.119547	0	12.53	4003	0	0	0	0.02	-0.2012213	3
2111	-44	25	119	0.07057036	-0.04739743	-1.124866	0	12.48	4003	0	0	-2	0.02	-0.2026735	3
2279	-169	293	-94	0.04043499	-0.2073355	-1.12047	0	12.48	4003	12	12	2	0.02	-0.1970567	3
2352	125	-85	-64	-0.2092388	-0.3982633	-1.13533	0	12.48	4002	-3	0	3	0.02	-0.1944692	3
2423	270	-194	-118	-0.02512812	-0.1652186	-1.13386	0	12.48	4004	0	-8	1	0.02	-0.1964713	3
2532	64	26	14	0.2501721	0.001900898	-1.113018	0	12.48	4003	-8	-2	0	0.02	-0.1935934	3
2681	-53	21	88	0.305314	-0.0466544	-1.116373	0	12.48	4003	-5	-3	0	0.02	-0.1759022	3
2791	-82	137	-21	0.1266235	-0.03451998	-1.096618	0	12.48	4002	-9	-3	-4	0.02	-0.1687149	3
2878	111	2	-80	0.3633302	0.1309942	-1.111902	0	12.48	4003	5	-13	1	0.02	-0.1609177	3
2929	-164	42	27	0.2781028	0.1389748	-1.118262	0	12.48	4004	-24	2	0	0.02	-0.1556885	3
3079	25	-79	54	0.01764733	0.1779463	-1.117395	0	12.36	4002	1	9	-2	0.02	-0.1524008	3
3166	70	1	-45	-0.02211053	0.1212977	-1.109506	0	12.36	4004	2	-10	0	0.02	-0.1495394	3
3283	-16	74	24	-0.04104099	0.2425181	-1.116963	0	12.36	4002	-10	9	0	0.02	-0.1452526	3
3346	145	136	-26	-0.04299784	0.2107169	-1.110853	0	12.36	4002	18	-6	1	0.02	-0.142809	3
3461	-25	-33	-21	-0.1584615	0.08530133	-1.105659	0	12.36	4004	-8	-2	1	0.02	-0.1381726	3
3643	78	119	104	0.2630337	0.1008529	-1.136677	0	12.36	4003	3	-4	0	0.02	-0.1273778	3
3704	-75	154	54	0.0500449	0.1318949	-1.136439	0	12.36	4003	-1	-9	0	0.02	-0.1259056	3
3818	27	34	88	0.3671709	0.2648483	-1.178617	0	12.36	4003	0	-5	1	0.02	-0.1225512	3
3928	-56	73	10	0.2675171	0.2382415	-1.186576	0	12.36	4002	-1	-7	0	0.02	-0.1177461	3
4021	-10	-53	-194	0.02640293	0.1745874	-1.19986	0	12.48	4002	-9	-7	3	0.02	-0.1088274	3
4103	-65	-99	79	-0.1111126	0.2103781	-1.187933	0	12.48	4004	-17	1	0	0.02	-0.1023556	3
4221	60	-36	-97	0.002881898	0.1309785	-1.169204	0	12.48	4003	4	-7	3	0.02	-0.09853534	3
4284	146	-19	39	-0.08801517	0.5402593	-1.161006	0	12.48	4002	-6	11	0	0.02	-0.09341584	3
4402	-14	47	311	-0.09167489	0.7224174	-1.176514	0	12.48	4003	-3	0	-4	0.02	-0.07482985	3
4522	236	-2	-56	-0.1875509	0.2949854	-1.169992	0	12.48	4002	28	-33	1	0.02	-0.0641338	3
4670	-308	-203	187	-0.2161718	0.234975	-1.118806	0	12.48	4002	-35	-33	3	0.02	-0.03233221	3
4788	1153	-788	345	0.0278027	0.6147698	-1.089712	0	12.48	4002	11	-6	16	0.02	-0.009614364	3
4938	996	3564	-669	-2.091201	-4.858181	-1.666393	0	12.25	4003	-17	65	-19	0.02	0.03061225	3
5014	1174	4467	1093	-2.865848	-7.678936	-0.9483272	0	12.25	4004	-28	185	3	0.02	0.04096742	3
5118	-1459	62	1674	-3.522826	-8.686438	-1.181989	0	12.25	4004	133	-114	-49	0.02	0.04925655	3
5182	1218	153	2072	-0.4052812	-7.237846	-2.502329	0	12.25	4003	-36	-37	-57	0.02	0.05970588	3
5267	-3008	-1452	2887	2.187407	-6.404844	-6.917591	0	12.25	4002	-76	18	-45	0.02	0.07009368	3
5321	-3615	-2577	2316	1.090341	-4.615969	-8.427938	0	12.25	4002	-1	-22	-34	0.02	0.08347082	3
5516	-1973	-2022	2314	-5.03802	-1.749845	-15.88994	0	12.25	4002	46	-67	26	0.02	0.1114363	3
5543	-1736	-1245	1000	-5.760043	-0.3497407	-16.76056	0	12.25	4004	-29	-19	4	0.02	0.1157852	3
5631	-350	-738	818	-7.877817	-1.816145	-17.94026	0	12.25	4003	-9	-66	7	0.02	0.1452257	3
5806	1251	472	720	-6.817361	-1.568715	-21.21795	0	12.14	4003	-9	-32	-17	0.02	0.1815937	3
5921	0	-226	1075	-4.336396	-5.454603	-23.65568	0	12.14	4002	26	-74	-12	0.02	0.2029042	3
6004	646	167	1202	-2.928428	-4.700517	-25.89107	0	12.14	4002	-45	57	-7	0.02	0.2123096	3
6108	1334	-753	1275	-0.5509334	-7.786307	-27.3162	0	12.14	4002	-28	-64	-14	0.02	0.2335231	3
6199	284	-434	2461	-2.489762	-4.802498	-29.1606	0	12.14	4004	-45	86	16	0.02	0.2390455	3
6231	1177	150	-116	-3.654698	-4.279875	-29.55529	0	12.14	4004	-12	-37	-31	0.02	0.2404452	3
6362	-65	-2254	-807	-1.615063	-8.681246	-31.36747	0	12.14	4003	85	-1	-8	0.02	0.2515633	3
6481	-949	941	356	-2.875985	-6.055916	-32.58154	0	12.14	4002	65	-7	-3	0.02	0.2727417	3
6602	684	-2335	-347	-5.190432	-4.46709	-33.54662	0	12.14	4003	-57	111	26	0.02	0.2866032	3
6719	277	-2727	-2565	-8.426908	-6.173441	-33.15203	0	11.63	4003	-62	189	10	0.02	0.2880062	3
6834	602	1279	823	-5.580675	-6.47916	-32.92313	0	11.63	4003	-10	2	-17	0.02	0.2898795	3
6907	816	69	545	-1.923173	-9.523793	-33.16462	0	11.63	4003	-76	37	-28	0.02	0.2928163	3
7053	904	-1534	1748	-1.36285	-5.897525	-36.06636	0	11.63	4007	41	-128	-9	0.02	0.2947161	3
7161	898	-369	-443	-3.152902	-4.402297	-38.67202	0	11.63	4003	12	-164	18	0.02	0.296103	3
7235	99	973	1233	-3.70191	-6.669642	-39.7893	0	11.63	4003	-54	3	54	0.02	0.298189	3
7361	-10	633	-1700	-6.357311	-5.749579	-38.87061	0	11.63	4003	-21	-58	4	0.02	0.3019021	3
7474	-1177	-972	-954	-7.596925	-7.993324	-38.21684	0	11.63	4003	-21	-57	-24	0.02	0.3081233	3
7620	2506	360	-446	-6.902794	-8.057254	-37.75486	0	11.85	4003	-27	114	-32	0.02	0.3087014	3
7718	-2070	-1436	-805	-5.886287	-4.443554	-38.08632	0	11.85	4004	15	-63	-10	0.02	0.3070207	3
