time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude	compass_heading	latitude	longitude
226123	-18	0	4	-0.6959252	0.325435	-30.12564	0	11.85	4004	0	0	0	0	1.295591E+08	-0.07978763	1	10	0.04	1800	-0.4996948	40.92395	-91.39362
226226	-28	2	5	-0.6994116	0.3241546	-30.13284	0	11.85	4003	0	0	0	0	1.470957E+08	-0.07516351	1	10	0.04	1800	-0.489563	40.92395	-91.39362
226332	-23	7	8	-0.7010779	0.3279965	-30.13822	0	11.85	4003	0	0	0	0	1.561625E+08	-0.07703483	1	10	0.04	1800	-0.7064819	40.92394	-91.39362
226426	-26	8	3	-0.6970142	0.3298866	-30.14163	0	11.85	4003	0	0	0	0	1.607965E+08	-0.07495977	1	10	0.04	1800	-0.7140503	40.92394	-91.39362
226539	-23	1	7	-0.7027385	0.328969	-30.1478	0	11.85	4004	0	0	0	0	1.675906E+08	-0.07191131	1	10	0.04	1800	-0.4962769	40.92394	-91.39362
226643	-23	1	7	-0.700682	0.3257519	-30.15195	0	11.85	4002	0	0	0	0	1.711032E+08	-0.07136948	1	10	0.04	1800	-0.4936218	40.92394	-91.39362
226731	-22	0	7	-0.7031906	0.3290507	-30.15537	0	11.85	4002	0	0	0	0	1.728986E+08	-0.06996655	1	10	0.04	1800	-0.4893799	40.92395	-91.39362
226840	-25	-2	3	-0.7147195	0.3326088	-30.16214	0	11.85	4003	0	0	0	0	1.755307E+08	-0.06859772	1	10	0.04	1800	-0.6903076	40.92395	-91.39362
226940	-26	1	5	-0.7143868	0.3334775	-30.16837	0	11.85	4003	0	0	0	0	1.764848E+08	-0.06790695	1	10	0.04	1800	-0.693573	40.92395	-91.39362
227041	-26	1	5	-0.7136171	0.3285488	-30.1724	0	11.85	4002	0	0	0	0	1.778837E+08	-0.06877916	1	10	0.04	1800	-0.4721985	40.92395	-91.39362
227145	-23	3	7	-0.7173662	0.3307122	-30.17673	0	11.85	4003	0	0	0	0	1.786069E+08	-0.07313585	1	10	0.04	1800	-0.4648132	40.92395	-91.39362
227245	-26	-2	3	-0.7229573	0.3335964	-30.181	0	11.85	4002	0	0	0	0	1.789765E+08	-0.07577286	1	10	0.04	1800	-0.4532776	40.92395	-91.39362
227355	-28	4	1	-0.726805	0.3281985	-30.18363	0	11.85	4003	0	0	0	0	1.795185E+08	-0.07839745	1	10	0.04	1800	-0.6737366	40.92395	-91.39362
227453	-25	0	4	-0.7264814	0.3335289	-30.18882	0	11.85	4003	0	0	0	0	1.797987E+08	-0.07671154	1	10	0.04	1800	-0.4583435	40.92394	-91.39362
227555	-22	2	5	-0.7293121	0.3351805	-30.1948	0	11.85	4002	0	0	0	0	1.800029E+08	-0.0822813	1	10	0.04	1800	-0.4443054	40.92394	-91.39362
227652	-28	5	6	-0.7287324	0.3331517	-30.19767	0	11.85	4003	0	0	0	0	1.801519E+08	-0.09082929	1	10	0.04	1800	-0.6653748	40.92395	-91.39362
227748	-31	1	2	-0.7259392	0.3295466	-30.20188	0	11.85	4003	0	0	0	0	1.802604E+08	-0.09570656	1	10	0.04	1800	-0.4462585	40.92395	-91.39362
227847	-23	2	1	-0.7207505	0.3294072	-30.20841	0	11.85	4004	0	0	0	0	1.803395E+08	-0.09620679	1	10	0.04	1800	-0.4581909	40.92395	-91.39362
227950	-17	3	-1	-0.7208566	0.330783	-30.20981	0	11.85	4004	0	0	0	0	1.803972E+08	-0.09664753	1	10	0.04	1800	-0.6787109	40.92395	-91.39362
228051	-24	6	3	-0.7126076	0.3305313	-30.21384	0	11.85	4004	0	0	0	0	1.804393E+08	-0.09384113	1	10	0.04	1800	-0.4701233	40.92395	-91.39362
228262	-19	0	3	-0.7044278	0.3362682	-30.22495	0	11.85	4003	0	0	0	0	1.804983E+08	-0.0941537	1	10	0.04	1800	-0.4848633	40.92395	-91.39362
228369	-26	0	1	-0.7044022	0.3334489	-30.22989	0	11.85	4002	0	0	0	0	1.805086E+08	-0.09713878	1	10	0.04	1800	-0.6998901	40.92395	-91.39362
