time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude
62387	20	2	-3	0.2209109	-0.026064	0.9442235	0	12.19	4003	0	0	0	0	1.17992	0.06753762	1	15	0.01	1700
62495	13	0	-5	0.2239642	-0.02676024	0.9530885	0	12.19	4003	0	0	0	0	1.17992	0.06539659	1	15	0.01	1700
62606	23	-5	0	0.2309619	-0.02958859	0.9558401	0	12.19	4004	0	0	0	0	1.17992	0.05454528	1	15	0.01	1700
62805	10	-1	-1	0.229266	-0.02857784	0.9631156	0	12.19	4002	0	0	0	0	1.17992	0.05100178	1	15	0.01	1700
62940	23	-2	-6	0.2258088	-0.02884955	0.967701	0	12.19	4003	0	0	0	0	1.17992	0.05955917	1	15	0.01	1700
63030	24	-3	0	0.2333199	-0.02889296	0.9771159	0	12.19	4003	0	0	0	0	1.17992	0.06867561	1	15	0.01	1700
63108	26	1	-2	0.2312815	-0.0343048	0.9790112	0	12.19	4003	0	0	0	0	1.17992	0.07600362	1	15	0.01	1700
63216	18	-1	-4	0.2371811	-0.02888946	0.9831686	0	12.19	4002	0	0	0	0	1.17992	0.08049309	1	15	0.01	1700
63330	19	5	-4	0.2407282	-0.02415016	0.988793	0	12.19	4003	0	0	0	0	1.17992	0.08671661	1	15	0.01	1700
63444	28	-6	-3	0.2464063	-0.01728684	0.9960071	0	12.19	4003	0	0	0	0	1.17992	0.09734572	1	15	0.01	1700
63532	13	-5	0	0.244969	-0.01648209	0.9999815	0	12.19	4002	0	0	0	0	1.17992	0.102293	1	15	0.01	1700
63629	22	-3	-3	0.2417644	-0.01602265	1.006095	0	12.25	4004	0	0	0	0	1.17992	0.1056142	1	15	0.01	1700
63723	27	-5	-5	0.2395345	-0.01654728	1.011231	0	12.25	4003	0	0	0	0	1.17992	0.1100609	1	15	0.01	1700
63831	18	-2	-3	0.2444355	-0.02223958	1.014044	0	12.25	4004	0	0	0	0	1.17992	0.1117289	1	15	0.01	1700
63927	15	0	-2	0.2366227	-0.0250769	1.020035	0	12.25	4004	0	0	0	0	1.17992	0.1178749	1	15	0.01	1700
64114	14	-5	1	0.2521053	-0.01553304	1.027189	0	12.25	4003	0	0	0	0	1.17992	0.1186141	1	15	0.01	1700
64228	30	0	-7	0.2496265	-0.01481436	1.03049	0	12.25	4003	0	0	0	0	1.17992	0.1111094	1	15	0.01	1700
64265	18	0	-1	0.2549574	-0.01454771	1.035015	0	12.25	4003	0	0	0	0	1.17992	0.1090033	1	15	0.01	1700
64395	23	-1	-3	0.2615539	-0.02107982	1.039844	0	12.25	4004	0	0	0	0	1.17992	0.1003805	1	15	0.01	1700
64495	26	-6	0	0.2574287	-0.02273325	1.045347	0	12.25	4004	0	0	0	0	1.17992	0.09175038	1	15	0.01	1700
64527	25	-2	-2	0.2605806	-0.0163832	1.049749	0	12.19	4004	0	0	0	0	1.17992	0.08896451	1	15	0.01	1700
64665	24	-1	-4	0.2642254	-0.0224789	1.053417	0	12.19	4002	0	0	0	0	1.17992	0.07137894	1	15	0.01	1700
64778	23	-4	-1	0.2699774	-0.0240062	1.058492	0	12.19	4003	0	0	0	0	1.17992	0.05515276	1	15	0.01	1700
64858	26	-5	-9	0.2699429	-0.02065128	1.062404	0	12.19	4003	0	0	0	0	1.17992	0.05324616	1	15	0.01	1700
64929	16	3	-2	0.2757081	-0.02388591	1.064055	0	12.19	4003	0	0	0	0	1.17992	0.05245772	1	15	0.01	1700
65063	25	-3	-3	0.2788177	-0.02551513	1.070659	0	12.19	4003	0	0	0	0	1.17992	0.04387678	1	15	0.01	1700
65129	25	-4	-5	0.2821229	-0.02629251	1.071576	0	12.19	4002	0	0	0	0	1.17992	0.04029664	1	15	0.01	1700
65301	27	4	-2	0.278812	-0.02071776	1.076283	0	12.19	4003	0	0	0	0	1.17992	0.04433174	1	15	0.01	1700
65364	24	-1	-3	0.278295	-0.0238774	1.078361	0	12.19	4003	0	0	0	0	1.17992	0.0438216	1	15	0.01	1700
65445	25	-5	-3	0.2823492	-0.0267056	1.083436	0	12.19	4004	0	0	0	0	1.17992	0.04215411	1	15	0.01	1700
65548	28	0	0	0.28356	-0.02209944	1.086615	0	12.19	4002	0	0	0	0	1.17992	0.02966974	1	15	0.01	1700
65660	16	-6	-8	0.2912546	-0.02047838	1.090589	0	12.19	4004	0	0	0	0	1.17992	0.02363274	1	15	0.01	1700
65763	26	-3	-3	0.2884168	-0.02374979	1.095663	0	12.19	4003	0	0	0	0	1.17992	0.02269355	1	15	0.01	1700
65860	26	0	-4	0.2883596	-0.02604948	1.101104	0	12.19	4003	0	0	0	0	1.17992	0.01935466	1	15	0.01	1700
65945	24	2	-1	0.2896119	-0.02517832	1.102816	0	12.19	4003	0	0	0	0	1.17992	0.01547573	1	15	0.01	1700
66043	29	4	-2	0.2857358	-0.02609855	1.107034	0	12.19	4003	0	0	0	0	1.17992	0.0006499922	1	15	0.01	1700
66146	24	-1	-5	0.293174	-0.02592432	1.111008	0	12.19	4003	0	0	0	0	1.17992	-0.01266839	1	15	0.01	1700
66246	17	-1	-2	0.2952283	-0.02718643	1.115044	0	12.19	4002	0	0	0	0	1.17992	-0.01945807	1	15	0.01	1700
66403	29	-2	-2	0.3083687	-0.02507374	1.121586	0	12.19	4003	0	0	0	0	1.17992	-0.02981651	1	15	0.01	1700
66482	23	1	-3	0.3017783	-0.02600628	1.12501	0	12.19	4004	0	0	0	0	1.17992	-0.02912675	1	15	0.01	1700
66589	30	1	-1	0.3074629	-0.02958119	1.129656	0	12.19	4003	0	0	0	0	1.17992	-0.02562433	1	15	0.01	1700
66655	18	1	-5	0.3041265	-0.02708955	1.133018	0	12.19	4004	0	0	0	0	1.17992	-0.02348376	1	15	0.01	1700
66812	30	0	0	0.3079271	-0.03644258	1.13956	0	12.19	4003	0	0	0	0	1.17992	-0.02395704	1	15	0.01	1700
66873	36	0	-7	0.3056482	-0.04145937	1.143167	0	12.19	4003	0	0	0	0	1.17992	-0.02153978	1	15	0.01	1700
66966	32	-3	-1	0.3150561	-0.03812859	1.148792	0	12.19	4004	0	0	0	0	1.17992	-0.02081066	1	15	0.01	1700
67069	26	0	-5	0.3188267	-0.03658421	1.152399	0	12.19	4003	0	0	0	0	1.17992	-0.028748	1	15	0.01	1700
67169	29	-4	-3	0.3253924	-0.03715178	1.156129	0	12.19	4003	0	0	0	0	1.17992	-0.03479391	1	15	0.01	1700
67269	30	-1	-5	0.3354135	-0.03118362	1.162181	0	12.19	4003	0	0	0	0	1.17992	-0.04058052	1	15	0.01	1700
67377	30	0	-5	0.339878	-0.0302617	1.1675	0	12.19	4003	0	0	0	0	1.17992	-0.05015377	1	15	0.01	1700
67481	33	2	-2	0.3438111	-0.03457096	1.173125	0	12.19	4002	0	0	0	0	1.17992	-0.05327872	1	15	0.01	1700
67578	27	-5	-5	0.3562548	-0.03051454	1.179422	0	12.19	4004	0	0	0	0	1.17992	-0.05366252	1	15	0.01	1700
67684	31	-2	-7	0.3668817	-0.03330248	1.186697	0	12.19	4002	0	0	0	0	1.17992	-0.05110284	1	15	0.01	1700
67785	36	5	-4	0.3722357	-0.03668926	1.194951	0	12.19	4003	0	0	0	0	1.17992	-0.04784625	1	15	0.01	1700
67889	20	1	-7	0.3776807	-0.03811114	1.201004	0	12.19	4003	0	0	0	0	1.17992	-0.039939	1	15	0.01	1700
67990	33	-1	-6	0.3773784	-0.04036029	1.207851	0	12.19	4003	0	0	0	0	1.17992	-0.03127745	1	15	0.01	1700
68089	29	-4	-1	0.3823963	-0.03823545	1.215311	0	12.19	4004	0	0	0	0	1.17992	-0.02204096	1	15	0.01	1700
68198	39	-4	-7	0.3827224	-0.0353336	1.220079	0	12.19	4003	0	0	0	0	1.17992	-0.0199987	1	15	0.01	1700
68297	29	-3	1	0.3784953	-0.03678349	1.225215	0	12.31	4003	0	0	0	0	1.17992	-0.02106434	1	15	0.01	1700
68454	33	-3	-3	0.3814468	-0.03371223	1.233163	0	12.31	4003	0	0	0	0	1.17992	-0.02770819	1	15	0.01	1700
68500	31	-1	1	0.3822295	-0.03334393	1.237075	0	12.31	4002	0	0	0	0	1.17992	-0.02917351	1	15	0.01	1700
68606	32	6	-1	0.3890975	-0.0262526	1.241416	0	12.31	4003	0	0	0	0	1.17992	-0.03437627	1	15	0.01	1700
68707	35	2	-5	0.3983974	-0.03185108	1.246124	0	12.31	4003	0	0	0	0	1.17992	-0.03952474	1	15	0.01	1700
68812	30	-3	-8	0.4004155	-0.02870218	1.250525	0	12.31	4002	0	0	0	0	1.17992	-0.0391389	1	15	0.01	1700
68918	31	-3	-5	0.4084856	-0.02218858	1.256639	0	12.31	4002	0	0	0	0	1.17992	-0.03944094	1	15	0.01	1700
69046	33	1	-7	0.4171839	-0.02421344	1.26257	0	12.31	4003	0	0	0	0	1.17992	-0.03400698	1	15	0.01	1700
69138	24	0	-7	0.4095728	-0.0224117	1.268378	0	12.31	4003	0	0	0	0	1.17992	-0.02045762	1	15	0.01	1700
69223	30	0	-6	0.4065446	-0.01974718	1.275838	0	12.31	4003	0	0	0	0	1.17992	-0.01387511	1	15	0.01	1700
69327	29	-4	-7	0.4006586	-0.01951574	1.282441	0	12.31	4003	0	0	0	0	1.17992	-0.007012529	1	15	0.01	1700
69432	37	-2	-3	0.4027427	-0.02568365	1.288004	0	12.31	4003	0	0	0	0	1.17992	-0.006459466	1	15	0.01	1700
69543	41	4	-1	0.409668	-0.02250911	1.290511	0	12.31	4003	0	0	0	0	1.17992	-0.002703975	1	15	0.01	1700
69633	40	0	-3	0.4125682	-0.01844189	1.296869	0	12.31	4003	0	0	0	0	1.17992	0.003258407	1	15	0.01	1700
69734	37	-6	-6	0.4169241	-0.02202883	1.305062	0	12.31	4002	0	0	0	0	1.17992	0.006939786	1	15	0.01	1700
69845	34	-5	-7	0.4254355	-0.01910342	1.310809	0	12.31	4004	0	0	0	0	1.17992	0.01196114	1	15	0.01	1700
69988	38	2	0	0.4324379	-0.02534858	1.317227	0	12.31	4003	0	0	0	0	1.17992	0.01300134	1	15	0.01	1700
70088	27	-1	-1	0.4373048	-0.02710654	1.321079	0	12.31	4004	0	0	0	0	1.17992	0.0110646	1	15	0.01	1700
70193	36	-4	-3	0.4381514	-0.02480589	1.327071	0	12.25	4004	0	0	0	0	1.17992	0.01156248	1	15	0.01	1700
70324	32	0	-5	0.4412764	-0.02901217	1.336547	0	12.25	4002	0	0	0	0	1.17992	0.02144286	1	15	0.01	1700
70447	40	-1	-5	0.4414959	-0.02334521	1.342294	0	12.25	4002	0	0	0	0	1.17992	0.0337175	1	15	0.01	1700
70557	28	-2	-4	0.4479018	-0.03180104	1.349691	0	12.25	4004	0	0	0	0	1.17992	0.04126976	1	15	0.01	1700
70647	39	-1	-4	0.4405567	-0.0305816	1.353053	0	12.25	4003	0	0	0	0	1.17992	0.04345749	1	15	0.01	1700
70773	45	-4	-2	0.4418659	-0.02697747	1.360512	0	12.25	4002	0	0	0	0	1.17992	0.04627039	1	15	0.01	1700
70931	40	2	-8	0.444895	-0.03010133	1.371395	0	12.25	4002	0	0	0	0	1.17992	0.04508946	1	15	0.01	1700
71121	42	-4	-7	0.4585983	-0.03279452	1.383561	0	12.19	4003	0	0	0	0	1.17992	0.04838581	1	15	0.01	1700
71222	41	-3	-4	0.4521729	-0.03200725	1.393342	0	12.19	4004	0	0	0	0	1.17992	0.04743053	1	15	0.01	1700
71327	43	0	-2	0.4471958	-0.03544229	1.401351	0	12.19	4004	0	0	0	0	1.17992	0.05109718	1	15	0.01	1700
71514	35	-3	-4	0.4567936	-0.03868432	1.415352	0	12.19	4003	0	0	0	0	1.17992	0.07192569	1	15	0.01	1700
71548	42	0	-3	0.4571318	-0.04106307	1.419448	0	12.19	4003	0	0	0	0	1.17992	0.07450424	1	15	0.01	1700
71700	33	0	-2	0.4644174	-0.04481388	1.429596	0	12.19	4003	0	0	0	0	1.17992	0.08885457	1	15	0.01	1700
71753	36	-3	-6	0.4625863	-0.04200586	1.436138	0	12.19	4004	0	0	0	0	1.17992	0.09518837	1	15	0.01	1700
71824	38	0	-11	0.4688622	-0.03547945	1.442374	0	12.19	4002	0	0	0	0	1.17992	0.1024724	1	15	0.01	1700
71936	28	-2	-5	0.4764735	-0.03828018	1.450873	0	12.19	4003	0	0	0	0	1.17992	0.1103462	1	15	0.01	1700
72018	33	-5	-4	0.4762373	-0.03793939	1.456742	0	12.19	4002	0	0	0	0	1.17992	0.1149492	1	15	0.01	1700
72121	42	1	-7	0.4826675	-0.03829649	1.465119	0	12.19	4004	0	0	0	0	1.17992	0.1207321	1	15	0.01	1700
72262	44	4	-4	0.4834732	-0.04267886	1.47698	0	12.19	4003	0	0	0	0	1.17992	0.120861	1	15	0.01	1700
