time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude
4653107	38	0	-2	0.5298262	-0.09888598	-56.84483	0	10.49	4002	0	0	0	0	0.04356102	0.4175497	3	8	0.002	500
4653286	27	-1	0	0.5291597	-0.1015927	-56.83628	0	10.49	4004	0	0	0	0	0.04356102	0.4246787	3	8	0.002	500
4653350	32	0	-7	0.5358858	-0.1009038	-56.8328	0	10.49	4003	0	0	0	0	0.04356102	0.4336068	3	8	0.002	500
4653419	29	-2	-6	0.5357592	-0.1002628	-56.82902	0	10.49	4002	0	0	0	0	0.04356102	0.4403386	3	8	0.002	500
4653515	27	-4	0	0.541656	-0.0988398	-56.82249	0	10.49	4003	0	0	0	0	0.04356102	0.4401156	3	8	0.002	500
4653631	34	-2	-4	0.5348617	-0.1011729	-56.8148	0	10.49	4003	0	0	0	0	0.04356102	0.4391487	3	8	0.002	500
4653689	30	1	-5	0.5304964	-0.098506	-56.81229	0	10.49	4004	0	0	0	0	0.04356102	0.4381597	3	8	0.002	500
4653831	32	2	-7	0.5359684	-0.1056047	-56.80106	0	10.49	4002	0	0	0	0	0.04356102	0.4323997	3	8	0.002	500
4653893	39	0	-1	0.5349098	-0.104928	-56.79819	0	10.49	4004	0	0	0	0	0.04356102	0.4306996	3	8	0.002	500
4654017	27	0	-2	0.5341472	-0.1137776	-56.79002	0	10.49	4002	0	0	0	0	0.04356102	0.43421	3	8	0.002	500
4654177	36	-4	1	0.5351677	-0.1062437	-56.7822	0	10.49	4004	-2	0	0	0	0.04356102	0.4332079	3	8	0.002	500
4654216	39	-6	-3	0.5318733	-0.1033492	-56.78104	0	10.49	4003	-1	0	0	0	0.04356102	0.4331	3	8	0.002	500
4654347	24	17	41	0.548201	-0.08998293	-56.77982	0	10.49	4002	-3	1	-1	0	0.04356102	0.4327023	3	8	0.002	500
4654399	2	30	-17	0.542145	-0.09813529	-56.77151	0	10.49	4003	-2	3	0	0	0.04356102	0.4337041	3	8	0.002	500
4654544	60	-64	-386	0.552904	-0.1949019	-56.76257	0	10.49	4003	-9	2	5	0	0.04356102	0.4423452	3	8	0.002	500
4654673	67	109	682	0.5316438	-0.1511126	-56.91851	0	10.49	4003	29	-47	0	0	0.04356102	0.4406713	3	8	0.002	500
4654711	24	-287	-666	0.6323634	-0.1661467	-56.87687	0	10.49	4002	-3	8	9	0	0.04356102	0.43912	3	8	0.002	500
4654810	-7	-418	-473	0.56787	-0.1139581	-56.95116	0	10.32	4004	23	-57	-1	0	0.04356102	0.4429127	3	8	0.002	500
4654968	258	-3	-304	0.6021011	-0.04924887	-56.98111	0	10.32	4004	-56	58	8	0	0.04356102	0.4465047	3	8	0.002	500
4655136	626	546	115	0.3797024	-0.1402612	-56.95868	0	10.32	4004	-112	24	4	0	0.04356102	0.442267	3	8	0.002	500
4655251	388	-156	-278	0.4708836	-0.3073289	-56.94369	0	10.32	4003	-102	-3	0	0	0.04356102	0.441658	3	8	0.002	500
4655331	-314	-463	-168	0.3572803	-0.5305659	-56.93882	0	10.32	4003	0	0	0	0	0.04356102	0.4425727	3	8	0.002	500
4655436	-26	-356	-543	0.4088097	-0.557946	-56.94947	0	10.32	4004	0	0	0	0	0.04356102	0.4444223	3	8	0.002	500
4655555	69	-150	-542	0.4280751	-0.5797507	-56.96582	0	10.32	4004	0	0	0	0	0.04356102	0.4377753	3	8	0.002	500
4655665	-71	1	-340	0.4377106	-0.4985175	-56.89628	0	10.32	4004	-20	42	8	0	0.04356102	0.4360369	3	8	0.002	500
4655774	155	149	78	0.4289388	-0.4817936	-56.98504	0	10.43	4004	13	26	-1	0	0.04356102	0.433055	3	8	0.002	500
4655911	164	-105	-321	0.6664594	-0.4039039	-56.94933	0	10.43	4004	-66	49	3	0	0.04356102	0.4452117	3	8	0.002	500
4655979	-22	-427	-373	0.6821443	-0.215498	-56.92067	0	10.43	4003	-44	-23	3	0	0.04356102	0.4469308	3	8	0.002	500
4656079	746	460	205	0.5225034	-0.3827113	-56.92923	0	10.43	4003	-92	74	1	0	0.04356102	0.460828	3	8	0.002	500
4656178	654	-62	-166	0.7039806	-0.5027481	-56.91799	0	10.43	4004	-117	-31	0	0	0.04356102	0.4699827	3	8	0.002	500
4656276	-453	-227	524	0.9550508	-0.785125	-56.92758	0	10.43	4002	51	21	1	0	0.04356102	0.4756199	3	8	0.002	500
4656446	-65	479	-854	1.84111	-1.542295	-56.90601	0	10.43	4004	-24	120	-7	0	0.04356102	0.4618993	3	8	0.002	500
4656520	573	-23	-506	2.030489	-1.60464	-56.89497	0	10.43	4003	-90	-11	-1	0	0.04356102	0.4477	3	8	0.002	500
4656703	-334	-110	-122	1.83414	-2.055059	-56.94274	0	10.04	4004	-40	71	-9	0	0.04356102	0.4165285	3	8	0.002	500
