time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude
453621	68	1	0	0.7192029	0.009090707	1.398327	0	11.06	4002	0	0	0	0	1.474556	-0.01348832	1	15	0.022	1400
453731	66	-2	-4	0.7108623	0.009885536	1.401017	0	11.06	4004	0	0	0	0	1.474556	-0.01671639	1	15	0.022	1400
453813	74	-4	0	0.7115117	0.009248728	1.40652	0	11.06	4003	0	0	0	0	1.474556	-0.009182872	1	15	0.022	1400
453928	67	-5	-1	0.7153024	0.01594662	1.410372	0	11.06	4002	0	0	0	0	1.474556	-0.00285957	1	15	0.022	1400
453975	67	-6	0	0.7151049	0.01234665	1.413735	0	11.06	4003	0	0	0	0	1.474556	-0.0051554	1	15	0.022	1400
454094	77	-3	-8	0.724034	0.01773466	1.420276	0	11.06	4003	0	0	0	0	1.474556	-0.009634492	1	15	0.022	1400
454158	63	-4	-3	0.7267458	0.01904661	1.423944	0	11.11	4002	0	0	0	0	1.474556	-0.006914847	1	15	0.022	1400
454287	62	-5	-2	0.7214368	0.0201282	1.429202	0	11.11	4002	0	0	0	0	1.474556	0.009621288	1	15	0.022	1400
454368	79	0	-7	0.7254167	0.02075416	1.435744	0	11.11	4002	0	0	0	0	1.474556	0.01573172	1	15	0.022	1400
454485	66	-3	-4	0.7308038	0.02422027	1.44253	0	11.11	4003	0	0	0	0	1.474556	0.02745393	1	15	0.022	1400
454603	72	-5	-4	0.7197163	0.02412725	1.448277	0	11.11	4003	0	0	0	0	1.474556	0.03743738	1	15	0.022	1400
454716	62	-9	0	0.7238868	0.01654015	1.455064	0	11.11	4002	0	0	0	0	1.474556	0.03281378	1	15	0.022	1400
454823	70	-4	-3	0.7232203	0.01152004	1.460688	0	11.11	4004	0	0	0	0	1.474556	0.02608233	1	15	0.022	1400
454911	67	-4	-4	0.7208278	0.01511662	1.462584	0	11.11	4004	0	0	0	0	1.474556	0.02315893	1	15	0.022	1400
455085	69	-10	0	0.7330613	0.01829643	1.471632	0	11.11	4003	0	0	0	0	1.474556	0.007798318	1	15	0.022	1400
455134	78	-4	-8	0.7346106	0.01448965	1.474384	0	11.11	4004	0	0	0	0	1.474556	0.004338069	1	15	0.022	1400
455209	73	-9	-1	0.7408206	0.01294923	1.477686	0	11.11	4004	0	0	0	0	1.474556	0.003611683	1	15	0.022	1400
455291	62	-7	-3	0.7407647	0.01287277	1.480498	0	11.11	4004	0	0	0	0	1.474556	-0.001445905	1	15	0.022	1400
455422	72	2	-2	0.7323025	0.00850339	1.489119	0	11.11	4002	0	0	0	0	1.474556	-0.005942573	1	15	0.022	1400
455520	64	-3	-4	0.7390456	0.0139681	1.494377	0	11.11	4002	0	0	0	0	1.474556	-0.01059993	1	15	0.022	1400
455615	67	0	0	0.739624	0.009320008	1.498596	0	11.11	4003	0	0	0	0	1.474556	-0.01408347	1	15	0.022	1400
455710	75	-6	-7	0.7330641	0.00763119	1.501838	0	11.11	4009	0	0	0	0	1.474556	-0.01214691	1	15	0.022	1400
455847	67	5	3	0.7362221	0.01440643	1.505873	0	11.11	4002	0	0	0	0	1.474556	0.01054856	1	15	0.022	1400
455888	69	-6	-3	0.7371522	0.01682553	1.506239	0	11.11	4003	0	0	0	0	1.474556	0.01588599	1	15	0.022	1400
455993	75	-10	-5	0.7422693	0.0138849	1.51107	0	11.11	4004	0	0	0	0	1.474556	0.03394069	1	15	0.022	1400
456113	67	0	-4	0.750698	0.012729	1.518407	0	11.11	4002	0	0	0	0	1.474556	0.04017072	1	15	0.022	1400
456283	71	-9	-6	0.7524562	0.01363867	1.525499	0	11.11	4004	0	0	0	0	1.474556	0.05035553	1	15	0.022	1400
456334	71	-2	-8	0.7607021	0.01198483	1.531246	0	11.11	4002	0	0	0	0	1.474556	0.05976988	1	15	0.022	1400
456433	72	-1	-6	0.764649	0.01372959	1.536931	0	11.11	4003	0	0	0	0	1.474556	0.07344819	1	15	0.022	1400
456512	81	0	-2	0.7625864	0.01255789	1.539499	0	11.11	4004	0	0	0	0	1.474556	0.08287314	1	15	0.022	1400
456587	69	-3	-5	0.7701914	0.01260565	1.543106	0	11.11	4002	0	0	0	0	1.474556	0.08118918	1	15	0.022	1400
456695	71	-1	1	0.7670401	0.005272921	1.54598	0	11.11	4003	0	0	0	0	1.474556	0.07873408	1	15	0.022	1400
456796	71	0	-1	0.768464	0.01379266	1.550199	0	11.11	4004	0	0	0	0	1.474556	0.07938785	1	15	0.022	1400
456987	69	-2	-7	0.7685256	0.009629731	1.555762	0	11.06	4003	0	0	0	0	1.474556	0.06318422	1	15	0.022	1400
457033	72	-2	-6	0.7696366	0.007015011	1.556557	0	11.06	4002	0	0	0	0	1.474556	0.05237229	1	15	0.022	1400
457170	80	0	0	0.7717355	0.005551446	1.562671	0	11.06	4004	0	0	0	0	1.474556	0.04246452	1	15	0.022	1400
457213	66	2	-2	0.7714682	0.007318614	1.565056	0	11.06	4003	0	0	0	0	1.474556	0.0397779	1	15	0.022	1400
457337	82	-2	-3	0.7700266	0.005105067	1.571537	0	11.06	4004	0	0	0	0	1.474556	0.0225804	1	15	0.022	1400
457399	73	-8	0	0.7722188	0.006008291	1.572943	0	11.06	4003	0	0	0	0	1.474556	0.02200796	1	15	0.022	1400
457534	68	-3	0	0.7718706	0.005198553	1.577957	0	11.06	4003	0	0	0	0	1.474556	0.01439469	1	15	0.022	1400
457602	76	-9	-3	0.7726329	0.003958869	1.579608	0	11.06	4003	0	0	0	0	1.474556	0.005679556	1	15	0.022	1400
457706	68	-4	-3	0.7748649	0.002223714	1.584805	0	11.06	4003	0	0	0	0	1.474556	-0.003289821	1	15	0.022	1400
