time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude
62803	-1223	-2423	-379	-0.3097887	-8.227832	-32.19476	0	10.09	4002	246	-400	-25	0	1.083093	2.046975	3	14	0.04	1800
62899	27	-3070	-1819	0.1977803	-4.474181	-32.2062	0	10.09	4004	84	19	-4	0	1.083177	2.0387	3	14	0.04	1800
63016	-36	-1110	925	1.181681	-1.642771	-32.25943	0	10.09	4003	108	-64	-6	0	1.083275	2.008857	3	14	0.04	1800
63104	1175	492	754	2.057614	-1.708779	-32.54222	0	10.09	4004	29	-68	4	0	1.083346	1.97863	3	14	0.04	1800
63183	1072	932	121	4.004786	-3.512119	-32.69402	0	10.09	4003	42	21	-7	0	1.083398	1.947649	3	14	0.04	1800
63290	-244	-1184	-165	4.146395	-2.444163	-32.68231	0	10.09	4004	-51	-10	-12	0	1.083435	1.917299	3	14	0.04	1800
63399	1011	-421	-759	4.815863	-2.186475	-32.78416	0	10.09	4002	6	-177	-3	0	1.083463	1.883502	3	14	0.04	1800
63510	-470	4865	1009	7.208951	-7.4978	-32.38541	0	10.04	4002	22	121	-1	0	1.083488	1.848414	3	14	0.04	1800
63638	353	1924	1182	5.687014	-10.68151	-32.32288	0	10.04	4003	-47	62	5	0	1.083501	1.806752	3	14	0.04	1800
63701	-39	1358	1984	5.563911	-11.13418	-32.67507	0	10.04	4003	-28	143	11	0	1.083508	1.776763	3	14	0.04	1800
63794	-260	326	654	5.120686	-11.04196	-33.00375	0	10.04	4003	-61	95	1	0	1.083516	1.741871	3	14	0.04	1800
63914	-293	-379	208	4.186095	-10.98748	-32.74081	0	10.04	4002	105	-133	-9	0	1.083522	1.705929	3	14	0.04	1800
64102	-889	-886	412	2.940673	-8.926233	-32.77729	0	10.04	4002	-93	160	5	0	1.083529	1.635091	3	14	0.04	1800
64184	884	1772	-1044	3.127054	-10.39126	-32.13749	0	10.04	4004	36	-141	-35	0	1.08353	1.617152	3	14	0.04	1800
64327	-110	-1027	940	3.340236	-9.396648	-31.78665	0	9.41	4003	30	-155	-21	0	1.083533	1.556941	3	14	0.04	1800
64475	-902	275	-150	4.455271	-8.152257	-33.44962	0	9.41	4003	130	-189	2	0	1.083534	1.47989	3	14	0.04	1800
64594	453	-3078	-2077	2.229549	-4.98749	-33.50191	0	9.41	4003	-43	-104	8	0	1.083535	1.428022	3	14	0.04	1800
64643	173	-2954	213	2.73961	-3.304941	-33.5217	0	9.41	4004	34	79	8	0	1.083536	1.360057	3	14	0.04	1800
64704	-1227	-2221	-545	1.923544	-0.3070509	-33.72358	0	9.41	4004	-75	-137	14	0	1.083536	1.344804	3	14	0.04	1800
64852	-395	-1124	-263	1.758154	2.481533	-33.07853	0	9.41	4003	47	-193	-5	0	1.083536	1.256304	3	14	0.04	1800
64904	164	964	696	1.756289	1.496812	-32.69417	0	9.41	4003	-20	52	12	0	1.083536	1.237134	3	14	0.04	1800
65109	1916	2209	624	3.695919	-0.02157976	-32.78241	0	9.41	4003	-115	202	14	0	1.083536	1.171128	3	14	0.04	1800
65161	-94	298	-1105	4.646998	-3.495389	-32.82559	0	9.41	4004	51	52	4	0	1.083536	1.154921	3	14	0.04	1800
65304	756	-953	-1991	5.502935	-3.632894	-32.50491	0	9.64	4003	-8	-190	-36	0	1.083536	1.105875	3	14	0.04	1800
65372	472	844	-670	6.605102	-4.567585	-32.17358	0	9.64	4004	-54	260	-17	0	1.083536	1.08504	3	14	0.04	1800
65433	-471	-1071	429	6.2725	-4.467131	-32.04922	0	9.64	4003	60	-115	-25	0	1.083536	1.06855	3	14	0.04	1800
65490	-561	-1371	530	5.950954	-3.5826	-32.24638	0	9.64	4003	-13	-42	-13	0	1.083536	1.063512	3	14	0.04	1800
65664	-177	3614	1182	4.512338	-4.348513	-33.81841	0	9.64	4004	-47	142	37	0	1.083536	1.010265	3	14	0.04	1800
65742	-517	3548	396	4.267212	-7.802913	-33.57631	0	9.64	4004	-8	57	8	0	1.083536	0.9891835	3	14	0.04	1800
65857	-902	1447	-234	2.296186	-10.22167	-32.7818	0	9.64	4002	70	-88	-2	0	1.083536	0.9422166	3	14	0.04	1800
65965	199	4021	623	2.14219	-13.97412	-32.97938	0	9.64	4003	62	300	-2	0	1.083536	0.8981211	3	14	0.04	1800
66003	199	4021	623	2.14219	-13.97412	-32.97938	0	9.64	4003	-63	4	-5	0	1.083536	0.8815072	3	14	0.04	1800
66158	-727	-266	-1694	0.9345203	-16.42644	-32.74732	0	10.77	4002	-112	-55	-1	0	1.083536	0.8508587	3	14	0.04	1800
66200	-1147	-351	345	1.203269	-16.43653	-32.7783	0	10.77	4003	-11	-197	-5	0	1.083536	0.8406804	3	14	0.04	1800
66357	-2199	-1921	-400	0.861381	-17.69531	-30.98549	0	10.77	4003	-12	57	-59	0	1.083536	0.8044924	3	14	0.04	1800
66401	-4576	-2096	-907	-1.078528	-16.08781	-30.6715	0	10.77	4002	83	-13	-74	0	1.083536	0.7880991	3	14	0.04	1800
66564	-2873	-1742	113	-8.399012	-9.649871	-31.96658	0	10.77	4004	-100	139	-15	0	1.083536	0.7378247	3	14	0.04	1800
66608	-2845	-934	413	-9.520393	-8.598544	-32.39363	0	10.77	4003	-174	62	1	0	1.083536	0.7256608	3	14	0.04	1800
66734	-620	-602	-339	-9.186884	-6.477073	-32.11753	0	10.77	4003	-1	-30	-20	0	1.083536	0.6956056	3	14	0.04	1800
66883	2142	-901	959	-7.658315	-4.362621	-32.174	0	10.77	4002	0	0	0	0	1.083536	0.6545228	3	14	0.04	1800
66937	2142	-901	959	-7.658315	-4.362621	-32.174	0	10.77	4002	0	0	0	0	1.083536	0.6284277	3	14	0.04	1800
67007	988	1957	-1444	3.113857	-3.986396	-31.6908	0	10.77	4003	0	0	0	0	1.083536	0.5866023	3	14	0.04	1800
67106	-11	-111	-76	1.602568	-3.648494	-31.45103	0	10.94	4002	0	0	0	0	1.083536	0.5569962	3	14	0.04	1800
67225	-61	33	39	1.174423	-3.084903	-31.48697	0	10.94	4004	0	0	0	0	1.083536	0.5196181	3	14	0.04	1800
67296	-37	72	-64	0.9628761	-2.852612	-31.50782	0	10.94	4003	0	0	0	0	1.083536	0.4828682	3	14	0.04	1800
67443	-11	32	66	0.7232302	-2.534885	-31.54224	0	10.94	4004	0	0	0	0	1.083536	0.4443278	1	14	0.04	1800
67502	-61	13	25	0.5079993	-2.242976	-31.5538	0	10.94	4003	0	0	0	0	1.083536	0.4172683	1	14	0.04	1800
67622	-85	-33	24	0.3123734	-2.01607	-31.58277	0	10.94	4002	0	0	0	0	1.083536	0.4024071	1	14	0.04	1800
67766	-70	-13	-7	0.01749495	-1.640029	-31.61731	0	10.94	4004	0	0	0	0	1.083536	0.3662433	1	14	0.04	1800
67873	-71	0	-53	-0.1338959	-1.446576	-31.63351	0	10.94	4004	0	0	0	0	1.083536	0.3347127	1	14	0.04	1800
67960	-52	17	19	-0.2504713	-1.297366	-31.6557	0	10.94	4003	0	0	0	0	1.083536	0.320001	1	14	0.04	1800
68024	-72	16	48	-0.3180005	-1.21474	-31.67508	0	10.94	4004	0	0	0	0	1.083536	0.3034957	1	14	0.04	1800
68166	-65	-4	21	-0.4130667	-1.096265	-31.69465	0	10.94	4002	0	0	0	0	1.083536	0.2933142	1	14	0.04	1800
68202	-55	7	-23	-0.4949048	-0.9848775	-31.71263	0	10.94	4004	0	0	0	0	1.083536	0.2920254	1	14	0.04	1800
68324	-58	19	4	-0.5425826	-0.9231229	-31.73011	0	10.94	4004	0	0	0	0	1.083536	0.2863005	1	14	0.04	1800
68410	-81	13	2	-0.6061186	-0.83194	-31.75157	0	10.94	4004	0	0	0	0	1.083536	0.2847085	1	14	0.04	1800
68522	-46	8	26	-0.689893	-0.7410316	-31.77975	0	10.94	4002	0	0	0	0	1.083536	0.2807966	1	14	0.04	1800
68598	-49	5	13	-0.7175586	-0.6963111	-31.79198	0	10.94	4003	0	0	0	0	1.083536	0.2833059	1	14	0.04	1800
68698	-60	-4	13	-0.7768858	-0.6260054	-31.81846	0	10.94	4004	0	0	0	0	1.083536	0.288605	1	14	0.04	1800
68853	-65	-3	10	-0.817642	-0.5656177	-31.8349	0	10.94	4002	0	0	0	0	1.083536	0.3099301	1	14	0.04	1800
68949	-60	1	21	-0.869593	-0.5114162	-31.85893	0	11	4010	0	0	0	0	1.083536	0.3219399	1	14	0.04	1800
69076	-56	-2	7	-0.8927434	-0.4697001	-31.87671	0	11	4004	0	0	0	0	1.083536	0.3330953	1	14	0.04	1800
69122	-54	0	2	-0.9014974	-0.4609118	-31.88105	0	11	4004	0	0	0	0	1.083536	0.3360078	1	14	0.04	1800
69279	-52	-1	12	-0.9246647	-0.4271118	-31.9104	0	11	4004	0	0	0	0	1.083536	0.3433704	1	14	0.04	1800
69425	-51	8	4	-0.9459731	-0.3864525	-31.93736	0	11	4004	0	0	0	0	1.083536	0.3384129	1	14	0.04	1800
69570	-54	3	12	-0.9602802	-0.3691815	-31.95718	0	11	4003	0	0	0	0	1.083536	0.3323275	1	14	0.04	1800
69640	-54	-3	15	-0.9706974	-0.3520634	-31.97626	0	11	4003	0	0	0	0	1.083536	0.3309932	1	14	0.04	1800
69825	-55	-3	17	-0.9783018	-0.3285347	-32.00511	0	11	4004	0	0	0	0	1.083536	0.3291208	1	14	0.04	1800
69906	-51	0	10	-0.9805643	-0.3193167	-32.01951	0	11	4003	0	0	0	0	1.083536	0.3283164	1	14	0.04	1800
69982	-53	2	7	-0.9836474	-0.3112357	-32.03539	0	11	4004	0	0	0	0	1.083536	0.3280692	1	14	0.04	1800
70030	-60	0	10	-0.9829478	-0.3052151	-32.04051	0	11	4004	0	0	0	0	1.083536	0.3290051	1	14	0.04	1800
70120	-51	1	7	-0.9875844	-0.2884213	-32.06194	0	11	4002	0	0	0	0	1.083536	0.3317005	1	14	0.04	1800
70265	-59	3	10	-0.995407	-0.278871	-32.08385	0	11	4002	0	0	0	0	1.083536	0.3218195	1	14	0.04	1800
70447	-51	2	8	-0.998172	-0.2735409	-32.11345	0	11	4004	0	0	0	0	1.083536	0.2986088	1	14	0.04	1800
70601	-55	1	10	-1.008575	-0.262432	-32.14648	0	11	4002	0	0	0	0	1.083536	0.2882511	1	14	0.04	1800
70714	-47	0	8	-1.011718	-0.2591479	-32.15789	0	11	4003	0	0	0	0	1.083536	0.2731698	1	14	0.04	1800
70825	-57	8	7	-1.005026	-0.2626551	-32.17126	0	11.06	4004	0	0	0	0	1.083536	0.2547329	1	14	0.04	1800
70902	-55	0	9	-1.006858	-0.2614371	-32.18792	0	11.06	4002	0	0	0	0	1.083536	0.2468028	1	14	0.04	1800
70998	-51	3	8	-1.005249	-0.2592832	-32.20251	0	11.06	4004	0	0	0	0	1.083536	0.2358133	1	14	0.04	1800
71100	-55	10	11	-1.005654	-0.2580448	-32.21832	0	11.06	4003	0	0	0	0	1.083536	0.2283601	1	14	0.04	1800
71210	-50	4	12	-1.005211	-0.2554724	-32.23577	0	11.06	4004	0	0	0	0	1.083536	0.231826	1	14	0.04	1800
71330	-54	3	7	-0.9958637	-0.2471658	-32.25604	0	11.06	4003	0	0	0	0	1.083536	0.2350935	1	14	0.04	1800
71491	-55	4	13	-0.9939806	-0.2511171	-32.28357	0	11.06	4002	0	0	0	0	1.083536	0.2516359	1	14	0.04	1800
71580	-48	4	8	-0.9936424	-0.2468258	-32.29351	0	11.06	4003	0	0	0	0	1.083536	0.2638922	1	14	0.04	1800
71681	-51	1	9	-0.9866323	-0.2447606	-32.31463	0	11	4003	0	0	0	0	1.083536	0.2674049	1	14	0.04	1800
71802	-49	7	6	-0.9867005	-0.2493465	-32.32971	0	11	4004	0	0	0	0	1.083536	0.2704687	1	14	0.04	1800
71903	-47	5	12	-0.9819557	-0.2515194	-32.34845	0	11	4002	0	0	0	0	1.083536	0.2729269	1	14	0.04	1800
71990	-52	6	7	-0.9823774	-0.2495904	-32.36236	0	11	4003	0	0	0	0	1.083536	0.2750823	1	14	0.04	1800
72127	-51	-2	8	-0.9785051	-0.2421032	-32.37268	0	11	4002	0	0	0	0	1.083536	0.2819923	1	14	0.04	1800
72268	-51	2	9	-0.988088	-0.2470484	-32.39636	0	11	4004	0	0	0	0	1.083536	0.2956825	1	14	0.04	1800
72296	-54	6	11	-0.9906323	-0.2536264	-32.40167	0	11	4004	0	0	0	0	1.083536	0.29793	1	14	0.04	1800
72386	-52	0	5	-0.98928	-0.2530568	-32.41101	0	11	4003	0	0	0	0	1.083536	0.3065985	1	14	0.04	1800
72552	-52	1	8	-0.9809873	-0.2562252	-32.43561	0	11	4003	0	0	0	0	1.083536	0.3184541	1	14	0.04	1800
72593	-58	6	10	-0.9855463	-0.2582347	-32.44458	0	11.06	4002	0	0	0	0	1.083536	0.3195803	1	14	0.04	1800
72739	-50	1	10	-0.9780899	-0.2534463	-32.46277	0	11.06	4004	0	0	0	0	1.083536	0.3150838	1	14	0.04	1800
72854	-46	0	8	-0.9755768	-0.2498055	-32.48163	0	11.06	4003	0	0	0	0	1.083536	0.3099118	1	14	0.04	1800
72912	-50	-2	7	-0.9762621	-0.2516108	-32.48609	0	11.06	4005	0	0	0	0	1.083536	0.3062646	1	14	0.04	1800
72975	-51	-2	6	-0.9712453	-0.247814	-32.49927	0	11.06	4002	0	0	0	0	1.083536	0.2997335	1	14	0.04	1800
73077	-53	-4	7	-0.9728197	-0.245202	-32.51191	0	11.06	4002	0	0	0	0	1.083536	0.2984981	1	14	0.04	1800
73199	-52	3	11	-0.9788948	-0.2448439	-32.52436	0	11.06	4002	0	0	0	0	1.083536	0.2948821	1	14	0.04	1800
73303	-45	-1	6	-0.9690306	-0.2487066	-32.54084	0	11.06	4004	0	0	0	0	1.083536	0.2942048	1	14	0.04	1800
73412	-41	2	13	-0.9699765	-0.2477689	-32.55079	0	11.06	4002	0	0	0	0	1.083536	0.2968495	1	14	0.04	1800
