time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude	compass_heading	latitude	longitude
758800	-2595	-2365	-1685	-0.2404598	-2.394954	0.3675422	0	10.49	4003	0	0	5	5	0.2685689	1.235582	8	9	0.04	1800	-93.35776	40.92374	-91.39366
758946	-707	-3167	-1745	0.1392837	-0.8501294	3.453253	0	9.3	4003	0	0	5	5	0.2685689	1.19556	8	9	0.04	1800	258.1437	40.92374	-91.39367
759007	2237	3633	-1164	3.011281	-3.323788	4.321013	0	9.3	4004	0	0	5	5	0.2685689	1.18872	8	9	0.04	1800	-97.2157	40.92375	-91.39367
759113	1726	385	1108	5.940461	-6.200298	5.309582	0	9.3	4003	0	0	5	5	0.2685689	1.180443	8	9	0.04	1800	-97.48959	40.92375	-91.39367
759146	1726	385	1108	7.10313	-6.894939	4.562769	0	9.3	4003	0	0	5	5	0.2685689	1.180909	8	9	0.04	1800	-97.48959	40.92375	-91.39367
759329	1672	1352	1255	2.119167	0.04701625	-1.341027	0	9.3	4004	0	0	5	5	0.2685689	1.195485	8	9	0.04	1800	-88.2001	40.92375	-91.39367
759425	1472	1427	-152	4.221083	-2.180725	-2.090942	0	9.3	4004	0	0	5	5	0.2685689	1.21077	8	9	0.04	1800	-84.58072	40.92375	-91.39368
759494	-1728	1514	454	3.062254	-3.005733	-0.499865	0	9.3	4003	0	0	5	5	0.2685689	1.231269	8	9	0.04	1800	-82.95132	40.92375	-91.39368
759568	-1522	-2558	-2839	-0.9887628	-1.502213	2.405762	0	9.3	4003	0	0	5	5	0.2685689	1.247194	8	9	0.04	1800	-89.17273	40.92375	-91.39368
759664	-1721	159	-5	-1.548166	-0.1997842	3.429787	0	9.3	4002	0	0	5	5	0.2685689	1.265912	8	9	0.04	1800	-91.69913	40.92375	-91.39368
759744	4017	3482	2578	2.745883	-2.558837	1.256384	0	9.3	4003	0	0	5	5	0.2685689	1.302262	8	9	0.04	1800	-84.70093	40.92375	-91.39368
759984	422	-1103	-610	11.28964	-3.914954	-0.8368497	0	10.21	4003	0	0	5	5	0.2685689	1.381679	8	9	0.04	1800	-77.93555	40.92375	-91.39368
760081	1180	1443	-428	13.78098	-5.616594	-0.3050347	0	10.21	4002	0	0	5	5	0.2685689	1.411626	8	9	0.04	1800	-83.25211	40.92375	-91.39368
760158	2891	5026	-1204	15.33078	-9.759457	1.602888	0	10.21	4003	0	0	5	5	0.2685689	1.459365	8	9	0.04	1800	-79.59634	40.92375	-91.39368
760271	-1941	-1344	1023	13.52697	-10.52129	3.045769	0	10.21	4004	0	0	5	5	0.2685689	1.525503	8	9	0.04	1800	-62.06439	40.92375	-91.39368
760445	-1511	-1584	1701	6.320668	0.6703605	-0.5960003	0	10.21	4003	0	0	5	5	0.2685689	1.610361	8	9	0.04	1800	-64.87943	40.92375	-91.39368
760518	-1192	-766	-604	5.696954	0.04081346	-1.477184	0	10.21	4003	0	0	5	5	0.2685689	1.63444	8	9	0.04	1800	-71.54504	40.92375	-91.39368
760707	-4084	-738	-1617	-3.682507	-1.150549	3.307233	0	10.21	4003	0	0	5	5	0.2685689	1.760443	8	9	0.04	1800	-80.43683	40.92374	-91.39368
760896	1260	-1451	2316	-9.1629	0.8786091	-1.194161	0	10.89	4004	0	0	5	5	0.2685689	1.848366	8	9	0.04	1800	-78.56549	40.92374	-91.39368
761099	-1005	-1676	-2917	-4.564705	-0.4102913	-0.7834831	0	10.89	4002	0	0	5	5	0.2685689	1.955508	8	9	0.04	1800	-85.96094	40.92374	-91.39368
761208	-2113	-956	-831	-6.154892	5.399589	1.852837	0	10.89	4003	0	0	5	5	0.2685689	2.001748	8	9	0.04	1800	256.2754	40.92373	-91.39368
761290	-408	1469	1877	-7.053714	5.986837	1.275548	0	10.89	4004	0	0	5	5	0.2685689	2.040871	8	9	0.04	1800	-97.77142	40.92373	-91.39368
761364	2034	-315	-76	-5.580182	4.708308	0.3734419	0	10.89	4004	0	0	5	5	0.2685689	2.068954	8	9	0.04	1800	-99.29028	40.92373	-91.39368
761543	328	732	-775	0.5690302	-1.207762	1.407413	0	10.89	4003	0	0	5	5	0.2685689	2.113995	8	9	0.04	1800	253.0511	40.92373	-91.39367
761646	234	1342	1513	1.715877	-3.534798	1.417467	0	10.89	4003	0	0	5	5	0.2685689	2.127898	8	9	0.04	1800	251.6007	40.92373	-91.39367
761842	-1894	1078	-519	0.7606556	-3.057329	1.477589	0	10.32	4003	0	0	5	5	0.2685689	2.113037	8	9	0.04	1800	242.898	40.92373	-91.39367
762045	-196	-1272	-347	0.9003941	-0.1449399	-2.050515	0	10.32	4002	0	0	5	5	0.2685689	2.084978	8	9	0.04	1800	254.2749	40.92373	-91.39366
762213	1407	3707	-958	0.8505723	-2.323741	-0.8216211	0	10.32	4003	0	0	5	5	0.2685689	2.051368	8	9	0.04	1800	253.6042	40.92372	-91.39366
762253	1498	2434	-1471	1.512488	-3.948054	-0.03526237	0	10.32	4004	0	0	5	5	0.2685689	2.03715	8	9	0.04	1800	253.6042	40.92372	-91.39366
762393	-462	209	1107	0.5359564	-1.057997	0.1273431	0	10.32	4003	0	0	5	5	0.2685689	2.008914	8	9	0.04	1800	256.9151	40.92372	-91.39366
762532	567	-617	-932	-1.357937	-0.9345465	-0.8713629	0	10.32	4004	0	0	5	5	0.2685689	1.963966	8	9	0.04	1800	254.3604	40.92372	-91.39366
762559	567	-617	-932	-1.357937	-0.9345465	-0.8713629	0	10.32	4004	0	0	5	5	0.2685689	1.955452	8	9	0.04	1800	254.3604	40.92372	-91.39365
762648	-1356	52	468	-0.6261529	0.6201385	-0.6178326	0	10.72	4004	0	0	5	5	0.2685689	1.913822	8	9	0.04	1800	254.4451	40.92372	-91.39365
762783	-332	-495	-1142	-1.953992	-0.808828	-1.041058	0	10.72	4003	0	0	5	5	0.2685689	1.84941	8	9	0.04	1800	251.2527	40.92372	-91.39365
762945	-646	-2488	-1190	-0.671156	-0.3700635	-0.9433408	0	10.72	4008	0	0	5	5	0.2685689	1.78643	8	9	0.04	1800	251.6577	40.92372	-91.39365
762978	1042	537	-1190	-0.671156	-0.3700635	-0.9433408	0	10.72	4008	0	0	5	5	0.2685689	1.779145	8	9	0.04	1800	251.6577	40.92372	-91.39365
763056	-785	-1101	-798	1.111835	1.137914	-0.370509	0	10.72	4003	0	0	5	5	0.2685689	1.760991	8	9	0.04	1800	251.8766	40.92372	-91.39365
763163	3377	4614	120	0.9479502	-2.515512	-0.3184113	0	10.72	4003	0	0	5	5	0.2685689	1.740335	8	9	0.04	1800	253.173	40.92372	-91.39365
763280	1053	3087	-347	4.158299	-6.820536	1.084586	0	10.72	4002	0	0	5	5	0.2685689	1.736617	8	9	0.04	1800	254.1201	40.92372	-91.39365
763461	-1130	-2992	-676	4.595162	-4.311842	0.2045909	0	10.72	4003	0	0	5	5	0.2685689	1.724179	8	9	0.04	1800	249.2577	40.92372	-91.39365
763583	-951	-623	1686	2.582515	-2.795875	0.5554294	0	10.6	4004	0	0	5	5	0.2685689	1.716703	8	9	0.04	1800	254.1821	40.92372	-91.39365
763664	-83	-1665	138	1.000913	-2.499879	-0.9871988	0	10.6	4004	0	0	5	5	0.2685689	1.71478	8	9	0.04	1800	256.9718	40.92372	-91.39365
763778	-729	-1193	3	1.951347	-1.800737	-1.250234	0	10.6	4002	0	0	5	5	0.2685689	1.72187	8	9	0.04	1800	256.7485	40.92372	-91.39365
763840	-1073	-1515	-613	0.005962058	-1.602911	-1.237987	0	10.6	4003	0	0	5	5	0.2685689	1.727357	8	9	0.04	1800	254.3303	40.92372	-91.39365
763951	32	-1630	-1465	0.2230092	-0.6413957	0.2830558	0	10.6	4003	0	0	5	5	0.2685689	1.744472	8	9	0.04	1800	246.8082	40.92372	-91.39365
764079	-2018	2706	1548	-3.660807	0.3031009	0.9023839	0	10.6	4004	0	0	5	5	0.2685689	1.766743	8	9	0.04	1800	243.5607	40.92372	-91.39365
764207	2310	1081	-412	-1.192091	-5.937422	-0.881802	0	10.6	4003	0	0	5	5	0.2685689	1.793991	8	9	0.04	1800	247.6149	40.92372	-91.39365
764231	973	669	-644	-0.6430463	-5.977903	-0.7828293	0	10.6	4002	0	0	5	5	0.2685689	1.793991	8	9	0.04	1800	248.5159	40.92372	-91.39365
764377	-353	-2867	-1990	-0.5333356	-5.023176	0.6813989	0	10.6	4002	0	0	5	5	0.2685689	1.819358	8	9	0.04	1800	248.096	40.92373	-91.39366
764509	1094	861	-265	1.487312	-3.346643	-0.3584923	0	10.43	4002	0	0	5	5	0.2685689	1.831341	8	9	0.04	1800	248.2657	40.92373	-91.39366
764540	784	871	-108	2.075875	-3.894306	-0.5135494	0	10.43	4004	0	0	5	5	0.2685689	1.832694	3	9	0.04	1800	248.2657	40.92373	-91.39366
764650	-366	-936	1462	2.736981	-4.062706	-0.7490435	0	10.43	4002	0	0	5	5	0.2685689	1.840937	3	9	0.04	1800	252.841	40.92373	-91.39366
764751	-603	-1729	407	2.516222	-2.299854	-0.9638761	0	10.43	4002	0	0	5	5	0.2685689	1.841465	3	9	0.04	1800	251.7561	40.92373	-91.39366
764905	-167	1790	72	0.3812464	-0.1578592	-1.822484	0	10.43	4003	0	0	5	5	0.2685689	1.816171	3	9	0.04	1800	249.9042	40.92373	-91.39366
765024	-232	2937	-203	0.07662631	-4.123692	-1.922696	0	10.43	4004	0	0	5	5	0.2685689	1.776104	3	9	0.04	1800	255.8627	40.92373	-91.39366
