time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude	compass_heading	latitude	longitude
439645	-972	-1440	40	-0.1696662	-0.1107321	-0.4365852	0	10.09	4004	0	48	5	5	0.2918929	0.7136497	8	10	0.03	1800	-2.859741	40.92394	-91.39363
439795	1616	-955	1366	0.3728832	-0.67611	-0.2810318	0	10.09	4003	0	48	5	5	0.2918929	0.7142789	8	10	0.03	1800	0.583684	40.92394	-91.39363
439903	-618	1792	1146	0.4142671	0.5109411	0.0302447	0	10.09	4003	0	48	5	5	0.2918929	0.7282426	8	10	0.03	1800	0.1076151	40.92394	-91.39363
439961	97	484	-1225	0.6971479	-1.770064	0.2178727	0	10.09	4004	0	48	5	5	0.2918929	0.7378394	8	10	0.03	1800	2.639159	40.92394	-91.39363
440058	-860	2157	474	0.7237069	-5.023572	-0.1217867	0	10.09	4003	0	48	5	5	0.2918929	0.7591262	8	10	0.03	1800	-9.277588	40.92393	-91.39363
440218	-831	1437	1049	-1.471037	-13.27952	-0.9219278	0	10.89	4002	0	36	5	5	0.2918929	0.7970068	8	10	0.03	1800	-8.063293	40.92393	-91.39363
440362	-1907	-4023	140	-3.33095	-9.745432	-1.267784	0	10.89	4004	0	43	5	5	0.2918929	0.8098715	8	10	0.03	1800	-10.25711	40.92393	-91.39363
440482	619	74	-1839	-1.803769	-8.349233	-0.3237686	0	10.89	4004	0	36	5	5	0.2918929	0.8122821	8	10	0.03	1800	-12.69617	40.92393	-91.39363
440624	-1727	2539	183	-3.380653	-12.52181	-0.2381126	0	10.89	4003	0	36	5	5	0.2918929	0.8166093	8	10	0.03	1800	-10.85251	40.92393	-91.39363
440670	-932	2189	861	-3.659557	-13.33693	-0.2315061	0	10.89	4002	0	24	5	5	0.2918929	0.8161123	8	10	0.03	1800	-10.85251	40.92393	-91.39363
440866	959	4399	667	-2.937036	-18.75683	-1.490137	0	10.89	4003	24	12	5	5	0.2918929	0.8180235	8	10	0.03	1800	-10.13126	40.92393	-91.39362
440929	165	104	-674	-2.153136	-20.19135	-0.6096348	0	10.89	4003	24	12	5	5	0.2918929	0.8235717	8	10	0.03	1800	-9.533386	40.92393	-91.39362
441043	-1674	-620	394	-5.053029	-16.17537	-0.09182084	0	10.89	4002	24	0	5	5	0.2918929	0.8365389	8	10	0.03	1800	-10.46884	40.92392	-91.39362
441187	-532	-3445	1850	-4.077679	-8.770969	-1.548684	0	10.72	4003	24	-12	5	5	0.2918929	0.8815287	8	10	0.03	1800	-12.25293	40.92392	-91.39362
441270	204	-1344	-439	-3.506604	-4.671686	-1.669476	0	10.72	4003	24	-12	5	5	0.2918929	0.9019254	8	10	0.03	1800	-11.25446	40.92392	-91.39362
441423	-237	1591	430	-1.430512	-8.724551	-0.2786955	0	10.72	4002	24	-12	5	5	0.2918929	0.936505	8	10	0.03	1800	-13.03342	40.92392	-91.39362
441478	-1571	-2117	-41	-2.403827	-8.023077	-0.2292963	0	10.72	4003	24	-12	5	5	0.2918929	0.9598137	8	10	0.03	1800	-11.30099	40.92392	-91.39362
441593	205	-1520	850	-2.44904	-3.542112	-0.7177888	0	10.72	4003	0	-12	5	5	0.2918929	0.9978007	8	10	0.03	1800	-11.9404	40.92392	-91.39363
441684	-167	-1443	-201	-2.369005	-2.31461	-1.118249	0	10.72	4004	0	-12	5	5	0.2918929	1.012286	8	10	0.03	1800	-13.5282	40.92392	-91.39363
441789	-560	1343	864	-1.730819	-1.222281	-1.060115	0	10.72	4003	0	-24	5	5	0.2918929	1.055862	8	10	0.03	1800	-14.85281	40.92392	-91.39363
441976	1325	1401	-784	-0.8931558	-4.382943	-0.1107935	0	10.72	4003	0	-36	5	5	0.2918929	1.116091	8	10	0.03	1800	-14.29959	40.92391	-91.39363
442061	-176	-229	326	0.2380146	-6.660429	-0.06282438	0	9.98	4004	0	-36	5	5	0.2918929	1.141559	8	10	0.03	1800	-14.34479	40.92391	-91.39363
