time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude	compass_heading	latitude	longitude
218565	-19	0	6	-0.2947205	0.2124432	-39.0463	0	11.63	4003	0	0	5	5	0.04036781	-0.009627769	5	10	0.03	2000	0.007222446	40.92393	-91.39362
218681	-21	-1	8	-0.2942333	0.2182072	-39.05545	0	11.63	4003	0	0	5	5	0.0406223	-0.005292819	5	10	0.03	2000	-0.47052	40.92393	-91.39362
218757	-14	3	6	-0.299114	0.2209495	-39.05698	0	11.63	4002	0	0	5	5	0.03896488	-0.00885325	5	10	0.03	2000	-0.4698181	40.92393	-91.39362
218905	-9	0	-1	-0.2947816	0.2185891	-39.06656	0	11.63	4003	0	0	5	5	0.0391232	-0.009834242	5	10	0.03	2000	-0.473053	40.92393	-91.39362
218943	-21	0	1	-0.2927791	0.2181991	-39.0665	0	11.63	4004	0	0	5	5	0.03946408	-0.009799533	5	10	0.03	2000	-0.473053	40.92393	-91.39362
219055	-19	2	2	-0.2893921	0.2168127	-39.07053	0	11.63	4002	0	0	5	5	0.03996964	-0.008612511	5	10	0.03	2000	-0.4778137	40.92393	-91.39362
219172	-12	-2	0	-0.292083	0.2183725	-39.07633	0	11.63	4004	0	0	5	5	0.04067934	-0.005942606	5	10	0.03	2000	-0.4741821	40.92393	-91.39362
219258	-23	-1	4	-0.3004601	0.2187274	-39.07895	0	11.63	4002	0	0	5	5	0.04070549	-0.001652549	5	10	0.03	2000	-0.463623	40.92393	-91.39362
219447	-17	0	4	-0.3046476	0.222131	-39.08976	0	11.63	4003	0	0	5	5	0.04156132	0.00294702	5	10	0.03	2000	-0.45578	40.92393	-91.39362
219549	-14	-1	7	-0.2968759	0.2179508	-39.09324	0	11.63	4002	0	0	5	5	0.04182437	0.008507519	5	10	0.03	2000	-0.2219543	40.92393	-91.39362
219599	-16	7	5	-0.2983909	0.2154989	-39.09409	0	11.63	4002	0	0	5	5	0.04189514	0.009454634	5	10	0.03	2000	-0.4697876	40.92393	-91.39362
219687	-16	7	7	-0.2968396	0.2127376	-39.0994	0	11.63	4003	0	0	5	5	0.04206773	0.01459566	5	10	0.03	2000	-0.4687805	40.92393	-91.39362
219825	-15	0	5	-0.2996216	0.2133586	-39.10532	0	11.63	4003	0	0	5	5	0.04222739	0.02577292	5	10	0.03	2000	-0.4634399	40.92393	-91.39362
219904	-25	0	3	-0.2943473	0.2187101	-39.1102	0	11.63	4002	0	0	5	5	0.03846491	0.03299297	5	10	0.03	2000	-0.4714661	40.92393	-91.39362
220041	-18	-1	4	-0.2957057	0.2164261	-39.11405	0	11.63	4003	0	0	5	5	0.03436241	0.0442984	5	10	0.03	2000	-0.4710999	40.92393	-91.39362
220143	-17	0	2	-0.3000509	0.2190081	-39.12345	0	11.63	4002	0	0	5	5	0.03700043	0.05992827	5	10	0.03	2000	-0.4655457	40.92393	-91.39362
220260	-13	-4	1	-0.3001286	0.2203074	-39.12668	0	11.68	4003	0	0	5	5	0.03836057	0.07110772	3	10	0.03	2000	-0.4656067	40.92393	-91.39362
220385	-17	8	3	-0.3011726	0.2179747	-39.1312	0	11.68	4003	0	0	5	5	0.03979512	0.07634787	1	10	0.03	2000	-0.4674072	40.92393	-91.39362
220430	-13	2	0	-0.3057348	0.2180104	-39.13297	0	11.68	4003	0	0	5	5	0.04006881	0.07588968	1	10	0.03	2000	-0.458374	40.92393	-91.39362
220513	-18	0	2	-0.3126046	0.2210414	-39.1359	0	11.68	4002	0	0	5	5	0.04053682	0.07477213	1	10	0.03	2000	-0.4483032	40.92393	-91.39362
220650	-25	0	1	-0.3051923	0.2236586	-39.14267	0	11.68	4004	0	0	5	5	0.04135387	0.07558832	1	10	0.03	2000	-0.4602051	40.92393	-91.39362
220738	-16	0	4	-0.307177	0.2277652	-39.14444	0	11.68	4003	0	0	5	5	0.04157772	0.07271069	3	10	0.03	2000	-0.4538879	40.92393	-91.39362
220814	-13	0	1	-0.3074991	0.2294104	-39.14688	0	11.68	4003	0	0	5	5	0.04175903	0.07256009	3	10	0.03	2000	-0.4489136	40.92393	-91.39362
220949	-14	0	2	-0.3119832	0.2291571	-39.1511	0	11.68	4004	0	0	5	5	0.02564141	0.07342736	6	10	0.03	2000	-0.4411621	40.92393	-91.39362
221035	-19	0	3	-0.3077815	0.2279277	-39.15445	0	11.68	4004	0	0	5	5	0.02885062	0.07340689	6	10	0.03	2000	-0.4501648	40.92393	-91.39362
221127	-20	2	0	-0.30194	0.225001	-39.15793	0	11.74	4002	0	0	5	5	0.03112423	0.07685939	6	10	0.03	2000	-0.2151794	40.92393	-91.39362
221216	-17	-4	1	-0.3033303	0.2202276	-39.16019	0	11.74	4002	0	0	5	5	0.03066914	0.08515789	6	10	0.03	2000	-0.2235413	40.92393	-91.39362
221389	-19	-2	0	-0.316298	0.2243805	-39.16666	0	11.74	4004	0	0	5	5	0.03405432	0.08374898	6	10	0.03	2000	-0.6806335	40.92393	-91.39362
221485	-21	-3	2	-0.3146992	0.2262661	-39.16843	0	11.74	4003	0	0	5	5	0.03472081	0.08947548	6	10	0.03	2000	-0.4362183	40.92393	-91.39362
221612	-10	0	2	-0.3111061	0.2239054	-39.17136	0	11.74	4004	0	0	5	5	0.03455018	0.1006999	6	10	0.03	2000	-0.4425964	40.92393	-91.39362
221650	-15	4	7	-0.3122378	0.2228752	-39.17551	0	11.74	4004	0	0	5	5	0.03534836	0.1029792	5	10	0.03	2000	-0.4457703	40.92393	-91.39362
221821	-16	-1	4	-0.3111507	0.2259242	-39.17966	0	11.74	4003	0	0	5	5	0.03773515	0.1090151	5	10	0.03	2000	-0.2060547	40.92393	-91.39362
221891	-21	2	2	-0.3084155	0.230019	-39.18491	0	11.74	4003	0	0	5	5	0.03969951	0.115858	5	10	0.03	2000	-0.4533081	40.92393	-91.39362
221977	-20	0	0	-0.3047044	0.2257399	-39.18845	0	11.74	4002	0	0	5	5	0.04023768	0.121362	5	10	0.03	2000	-0.4578857	40.92393	-91.39362
222026	-14	3	-1	-0.3048602	0.2236863	-39.18991	0	11.74	4003	0	0	5	5	0.04060843	0.1297009	5	10	0.03	2000	-0.4590149	40.92393	-91.39362
222153	-15	-1	7	-0.3007622	0.2293956	-39.19651	0	11.68	4002	0	0	5	5	0.0405965	0.141442	5	10	0.03	2000	-0.4625549	40.92393	-91.39362
222236	-17	-1	2	-0.3013962	0.2324126	-39.19968	0	11.68	4003	0	0	5	5	0.04080989	0.146527	5	10	0.03	2000	-0.4627075	40.92393	-91.39362
222338	-18	4	0	-0.3054467	0.2280685	-39.20768	0	11.68	4003	0	0	5	5	0.0411371	0.151783	5	10	0.03	2000	-0.2183228	40.92393	-91.39362
222479	-18	-1	3	-0.2978193	0.2211502	-39.2128	0	11.68	4002	0	0	5	5	0.04133186	0.1493514	5	10	0.03	2000	-0.4654846	40.92393	-91.39362
222531	-20	3	2	-0.300667	0.21976	-39.21402	0	11.68	4003	0	0	5	5	0.04123404	0.1473604	5	10	0.03	2000	-0.4663086	40.92393	-91.39362
222659	-23	-2	6	-0.3016553	0.2214797	-39.21915	0	11.68	4002	0	0	5	5	0.041292	0.1465989	5	10	0.03	2000	-0.4641418	40.92393	-91.39362
222796	-18	-4	-4	-0.3007214	0.2203295	-39.22269	0	11.68	4003	0	0	5	5	0.0414763	0.1276865	5	10	0.03	2000	-0.4601746	40.92393	-91.39362
222880	-15	8	8	-0.2904503	0.2133445	-39.22672	0	11.68	4004	0	0	5	5	0.0367514	0.1212132	5	10	0.03	2000	-0.4810791	40.92393	-91.39362
222932	-15	6	2	-0.2890245	0.213219	-39.23044	0	11.68	4002	0	0	5	5	0.03623186	0.1117254	5	10	0.03	2000	-0.4846802	40.92393	-91.39362
223066	-17	4	1	-0.2843867	0.2054238	-39.23252	0	11.68	4004	0	0	5	5	0.03881183	0.0924129	5	10	0.03	2000	-0.4902954	40.92393	-91.39362
223128	-16	-4	-2	-0.2807072	0.2086219	-39.23508	0	11.68	4004	0	0	5	5	0.03916933	0.08465899	5	10	0.03	2000	-0.5013733	40.92393	-91.39362
223231	-17	-2	5	-0.280856	0.2066601	-39.23862	0	11.68	4003	0	0	5	5	0.03980824	0.07601847	5	10	0.03	2000	-0.506958	40.92393	-91.39362
223342	-14	0	1	-0.2790207	0.2000536	-39.2424	0	11.68	4003	0	0	5	5	0.04045342	0.06360722	5	10	0.03	2000	-0.5005188	40.92393	-91.39362
223445	-13	3	6	-0.2849931	0.1987198	-39.25028	0	11.68	4002	0	0	5	5	0.04036605	0.05615852	5	10	0.03	2000	-0.2496338	40.92393	-91.39362
223565	-21	2	2	-0.2878376	0.1993295	-39.25663	0	11.68	4003	0	0	5	5	0.04065976	0.05623028	5	10	0.03	2000	-0.2420959	40.92393	-91.39362
223681	-18	2	1	-0.2819888	0.1932194	-39.26065	0	11.68	4003	0	0	5	5	0.04077579	0.05043518	5	10	0.03	2000	-0.4896545	40.92393	-91.39362
223756	-12	2	1	-0.2882363	0.1935555	-39.26236	0	11.68	4003	0	0	5	5	0.04110947	0.04576294	5	10	0.03	2000	-0.2497864	40.92393	-91.39362
223857	-11	1	12	-0.2846007	0.2001143	-39.26908	0	11.68	4004	0	0	5	5	0.04103021	0.04661046	5	10	0.03	2000	-0.4918823	40.92393	-91.39362
223948	-17	1	1	-0.2852522	0.191079	-39.27182	0	11.68	4004	0	0	5	5	0.04143719	0.04239861	5	10	0.03	2000	-0.4909668	40.92393	-91.39362
224084	-18	-2	1	-0.2848973	0.1913722	-39.27634	0	11.68	4002	0	0	5	5	0.04142268	0.03539982	5	10	0.03	2000	-0.4924011	40.92393	-91.39362
224197	-13	1	9	-0.2789536	0.1916077	-39.28159	0	11.68	4003	0	0	5	5	0.04123076	0.03417735	5	10	0.03	2000	-0.5002441	40.92393	-91.39362
224249	-22	4	2	-0.2743388	0.1948954	-39.28464	0	11.68	4003	0	0	5	5	0.04115508	0.03552133	5	10	0.03	2000	-0.5021973	40.92393	-91.39362
224351	-12	0	4	-0.2730982	0.1941225	-39.2905	0	11.68	4004	0	0	5	5	0.04117631	0.03937863	5	10	0.03	2000	-0.2669678	40.92393	-91.39362
224472	-14	1	-1	-0.2755084	0.200532	-39.29441	0	11.68	4004	0	0	5	5	0.04164253	0.03735803	5	10	0.03	2000	-0.2670593	40.92393	-91.39362
224568	-10	0	1	-0.2712366	0.197267	-39.2988	0	11.68	4003	0	0	5	5	0.04142051	0.0411527	5	10	0.03	2000	-0.5123901	40.92393	-91.39362
