time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode
458666	-20	-25	4	-0.4618263	-0.02544802	5.438593	0	11.11	4004	0	0	0	0	1.371657	0.1690553	1
458702	-24	-24	4	-0.4237257	-0.01398686	5.436637	0	11.11	4002	0	0	0	0	1.371657	0.1699733	1
458818	-23	-26	5	-0.422843	-0.02891665	5.430586	0	11.11	4004	0	0	0	0	1.371657	0.1728144	1
458908	-26	-24	3	-0.4365065	-0.04275958	5.42753	0	11.11	4002	0	0	0	0	1.371657	0.1746785	1
459011	-31	-26	2	-0.4341021	-0.05203512	5.423678	0	11.11	4002	0	0	0	0	1.371657	0.1712688	1
459120	-21	-23	7	-0.4316147	-0.03822038	5.416465	0	11.11	4004	0	0	0	0	1.371657	0.1708753	1
459246	-26	-20	-4	-0.4339803	-0.04633356	5.411758	0	11.11	4004	0	0	0	0	1.371657	0.1751026	1
459394	-24	-27	7	-0.4342977	-0.0227981	5.404484	0	11.11	4002	0	0	0	0	1.371657	0.1919563	1
459473	-18	-19	0	-0.416559	-0.03424893	5.398982	0	11.11	4002	0	0	0	0	1.371657	0.1979389	1
459513	-33	-22	2	-0.4084214	-0.02109209	5.39727	0	11.11	4004	0	0	0	0	1.371657	0.2048507	1
459622	-19	-16	3	-0.4099296	-0.03507521	5.393664	0	11.17	4002	0	0	0	0	1.371657	0.2092114	1
459729	-23	-23	0	-0.4186226	-0.04349369	5.386755	0	11.17	4002	0	0	0	0	1.371657	0.2064684	1
459843	-12	-26	4	-0.4155727	-0.04307554	5.380274	0	11.17	4004	0	0	0	0	1.371657	0.2098828	1
459926	-31	-14	0	-0.4071384	-0.05133245	5.375444	0	11.17	4003	0	0	0	0	1.371657	0.2121674	1
460063	-27	-18	1	-0.4123207	-0.06158049	5.368905	0	11.17	4003	0	0	0	0	1.371657	0.2087199	1
460139	-19	-23	6	-0.4011083	-0.0425984	5.365909	0	11.17	4003	0	0	0	0	1.371657	0.2060988	1
460237	-7	-19	0	-0.4091761	-0.0414998	5.358389	0	11.17	4004	0	0	0	0	1.371657	0.1971166	1
460337	-19	-22	7	-0.4016891	-0.03849072	5.352704	0	11.17	4003	0	0	0	0	1.371657	0.192365	1
460437	-31	-14	1	-0.4127756	-0.03404943	5.345734	0	11.17	4004	0	0	0	0	1.371657	0.1908595	1
460582	-28	-25	1	-0.3960404	-0.0439248	5.342248	0	11.17	4002	0	0	0	0	1.371657	0.1850535	1
460711	-16	-20	3	-0.4074893	-0.04000788	5.33864	0	11.17	4002	0	0	0	0	1.371657	0.1808181	1
460799	-36	-15	2	-0.4317441	-0.03889769	5.332954	0	11.17	4004	0	0	0	0	1.371657	0.1790898	1
460846	-25	-23	2	-0.4229878	-0.05470071	5.329959	0	11.17	4003	0	0	0	0	1.371657	0.1798961	1
460961	-18	-15	3	-0.4019958	-0.05653873	5.325313	0	11.17	4002	0	0	0	0	1.371657	0.1935657	1
461049	-12	-24	6	-0.4066143	-0.05758049	5.319994	0	11.17	4004	0	0	0	0	1.371657	0.1990347	1
461172	-18	-21	0	-0.4233874	-0.05370086	5.316693	0	11.17	4003	0	0	0	0	1.371657	0.1990528	1
461254	-23	-19	4	-0.4431548	-0.04438564	5.313148	0	11.17	4002	0	0	0	0	1.371657	0.1993452	1
461357	-14	-15	4	-0.445306	-0.04340447	5.309357	0	11.17	4002	0	0	0	0	1.371657	0.2031107	1
461482	-10	-21	5	-0.4323364	-0.04643916	5.306667	0	11.11	4004	0	0	0	0	1.371657	0.204323	1
461584	-16	-25	-5	-0.4192601	-0.04017853	5.303549	0	11.11	4004	0	0	0	0	1.371657	0.2042123	1
461676	-15	-10	-2	-0.4360584	-0.05949962	5.301165	0	11.11	4003	0	0	0	0	1.371657	0.2066085	1
461778	-23	-19	2	-0.4275953	-0.06245062	5.299331	0	11.11	4004	0	0	0	0	1.371657	0.209504	1
461869	-24	-21	-2	-0.4256888	-0.0751934	5.296885	0	11.11	4004	0	0	0	0	1.371657	0.2140837	1
461998	-5	-24	5	-0.4203342	-0.06696949	5.289365	0	11.11	4003	0	0	0	0	1.371657	0.2135124	1
462064	-5	-24	5	-0.4203342	-0.06696949	5.289365	0	11.11	4003	0	0	0	0	1.371657	0.2095727	1
462166	-1	-19	-2	-0.4270092	-0.07315389	5.281846	0	11.11	4003	0	0	0	0	1.371657	0.2038123	1
462270	-17	-18	4	-0.4093621	-0.05462137	5.276893	0	11.11	4004	0	0	0	0	1.371657	0.1967624	1
462367	-14	-18	3	-0.4309865	-0.05945343	5.273715	0	11.23	4003	0	0	0	0	1.371657	0.1960151	1
462471	-23	-20	4	-0.414456	-0.04699844	5.268641	0	11.23	4003	0	0	0	0	1.371657	0.1991004	1
462580	-19	-24	3	-0.4102404	-0.06281658	5.262222	0	11.23	4002	0	0	0	0	1.371657	0.2055542	1
462724	-27	-10	5	-0.4098947	-0.0601878	5.257882	0	11.23	4002	0	0	0	0	1.371657	0.2051707	1
462775	-23	-22	0	-0.4148894	-0.05564308	5.25507	0	11.23	4003	0	0	0	0	1.371657	0.209392	1
462875	-15	-22	0	-0.409533	-0.05124858	5.250853	0	11.23	4004	0	0	0	0	1.371657	0.2153431	1
463008	-23	-13	2	-0.4116902	-0.05007321	5.244864	0	11.23	4003	0	0	0	0	1.371657	0.2272372	1
463098	-20	-15	5	-0.4175892	-0.0435429	5.24089	0	11.23	4002	0	0	0	0	1.371657	0.2340702	1
463176	-3	-14	4	-0.4237375	-0.04441009	5.237589	0	11.23	4003	0	0	0	0	1.371657	0.2405365	1
463280	-15	-16	3	-0.417173	-0.0523055	5.231536	0	11.17	4004	0	0	0	0	1.371657	0.2421459	1
463397	-11	-15	0	-0.4066559	-0.04850817	5.227439	0	11.17	4003	0	0	0	0	1.371657	0.2422803	1
463483	-30	-23	4	-0.4189189	-0.06179731	5.222917	0	11.17	4002	0	0	0	0	1.371657	0.2432971	1
463602	-25	-30	5	-0.4073745	-0.05857429	5.216072	0	11.17	4002	0	0	0	0	1.371657	0.2404412	1
463687	-11	-19	5	-0.4071818	-0.05599352	5.214238	0	11.17	4002	0	0	0	0	1.371657	0.241338	1
463783	-18	-9	1	-0.3863099	-0.05967072	5.210876	0	11.17	4004	0	0	0	0	1.371657	0.2422878	1
463888	-21	-18	5	-0.3907248	-0.04236182	5.206842	0	11.17	4004	0	0	0	0	1.371657	0.2457439	1
463988	-11	-14	4	-0.3784573	-0.0622014	5.202135	0	11.17	4003	0	0	0	0	1.371657	0.249887	1
464106	-17	-20	0	-0.3946275	-0.05632546	5.198773	0	11.17	4003	0	0	0	0	1.371657	0.253476	1
464190	-21	-11	2	-0.3995783	-0.05653162	5.193822	0	11.11	4003	0	0	0	0	1.371657	0.2547529	1
464300	-32	-14	0	-0.4152972	-0.06421563	5.190583	0	11.11	4004	0	0	0	0	1.371657	0.2593257	1
464425	-35	-14	6	-0.3858952	-0.06368885	5.184591	0	11.11	4004	0	0	0	0	1.371657	0.270629	1
464575	-14	-18	0	-0.4167604	-0.08182315	5.178968	0	11.11	4002	0	0	0	0	1.371657	0.2731566	1
464657	-20	-16	6	-0.4216914	-0.08134189	5.175728	0	11.11	4003	0	0	0	0	1.371657	0.2789499	1
464742	-15	-14	-1	-0.4232644	-0.09010341	5.174321	0	11.11	4004	0	0	0	0	1.371657	0.2842225	1
464801	-15	-21	5	-0.4015845	-0.08510082	5.173221	0	11.11	4004	0	0	0	0	1.371657	0.2843254	1
464901	-18	-15	-2	-0.4037927	-0.07058217	5.169736	0	11.11	4004	0	0	0	0	1.371657	0.2852381	1
465009	-15	-21	6	-0.3972315	-0.09352008	5.167292	0	11.11	4004	0	0	0	0	1.371657	0.2921567	1
465120	-7	-12	2	-0.391206	-0.08592175	5.162889	0	11.11	4004	0	0	0	0	1.371657	0.2963569	1
465272	-17	-15	-3	-0.4062165	-0.06971015	5.157205	0	11.17	4002	0	0	0	0	1.371657	0.2859645	1
465369	-19	-12	-1	-0.4041154	-0.06739007	5.15152	0	11.17	4004	0	0	0	0	1.371657	0.2866306	1
465494	-29	-18	3	-0.3818395	-0.08977663	5.145957	0	11.17	4004	0	0	0	0	1.371657	0.2935098	1
465599	-18	-12	4	-0.3705561	-0.107706	5.141861	0	11.17	4004	0	0	0	0	1.371657	0.2932176	1
465674	-4	-9	1	-0.3620327	-0.1133315	5.138255	0	11.17	4002	0	0	0	0	1.371657	0.2864949	1
465754	-19	-14	7	-0.3725809	-0.1062214	5.134831	0	11.17	4004	0	0	0	0	1.371657	0.2803472	1
465838	-8	-11	4	-0.3974012	-0.1052514	5.132387	0	11.17	4004	0	0	0	0	1.371657	0.2784554	1
465927	-11	-14	0	-0.3954066	-0.1024328	5.130001	0	11.17	4004	0	0	0	0	1.371657	0.2771076	1
466022	-15	-4	2	-0.3876786	-0.08163106	5.126516	0	11.17	4003	0	0	0	0	1.371657	0.267881	1
466117	-7	-14	6	-0.3731255	-0.07716761	5.121504	0	11.11	4004	0	0	0	0	1.371657	0.2612266	1
466338	-21	-11	-1	-0.3665653	-0.08231218	5.117166	0	11.11	4002	0	0	0	0	1.371657	0.2464861	1
466505	-12	-6	0	-0.3742778	-0.07246013	5.113619	0	11.11	4003	0	0	0	0	1.371657	0.238039	1
466592	-14	-12	1	-0.385229	-0.08694328	5.111358	0	11.11	4003	0	0	0	0	1.371657	0.2261237	1
466721	-13	-15	3	-0.3891324	-0.1016179	5.109709	0	11.11	4003	0	0	0	0	1.371657	0.2067623	1
466876	-11	-15	0	-0.3988195	-0.1160392	5.106958	0	11.11	4002	0	0	0	0	1.371657	0.1827249	1
466933	-1	-13	5	-0.3979308	-0.1167403	5.105246	0	11.11	4004	0	0	0	0	1.371657	0.1813741	1
467048	-16	-13	0	-0.3834974	-0.1315881	5.105551	0	11.11	4003	0	0	0	0	1.371657	0.1754662	1
467212	-7	-16	0	-0.375979	-0.1118945	5.105063	0	11.11	4003	0	0	0	0	1.371657	0.1732005	1
467300	-9	-10	0	-0.3539623	-0.1093637	5.104023	0	11.11	4004	0	0	0	0	1.371657	0.1749318	1
467372	-7	0	0	-0.3733721	-0.1059117	5.102799	0	11.11	4004	0	0	0	0	1.371657	0.1747539	1
467416	-6	-9	2	-0.3896603	-0.1061453	5.101637	0	11.11	4004	0	0	0	0	1.371657	0.175102	1
467511	0	-9	2	-0.3723882	-0.108739	5.097785	0	11.11	4004	0	0	0	0	1.371657	0.174318	1
467607	-17	-12	3	-0.3702098	-0.1189675	5.096378	0	11.11	4004	0	0	0	0	1.371657	0.1644249	1
467804	-3	-4	-1	-0.3772345	-0.1016446	5.094788	0	11.11	4003	0	0	0	0	1.371657	0.1470076	1
467855	-10	4	5	-0.3671722	-0.09218147	5.093565	0	11.11	4003	0	0	0	0	1.371657	0.1510658	1
467909	-12	-9	0	-0.3683095	-0.09279464	5.092893	0	11.06	4004	0	0	0	0	1.371657	0.1560121	1
468060	-10	-11	5	-0.3634302	-0.1174089	5.091975	0	11.06	4002	0	0	0	0	1.371657	0.1660425	1
468123	-13	-6	1	-0.3308814	-0.1142455	5.088063	0	11.06	4004	0	0	0	0	1.371657	0.1725901	1
468287	-1	-8	-1	-0.3558063	-0.1299262	5.085863	0	11.06	4004	0	0	0	0	1.371657	0.1783208	1
468388	-8	-4	2	-0.3305343	-0.1380915	5.082379	0	11.06	4004	0	0	0	0	1.371657	0.1874598	1
468448	-5	-6	0	-0.3524882	-0.138591	5.080117	0	11.06	4003	0	0	0	0	1.371657	0.1969608	1
468492	-24	-4	1	-0.3457246	-0.143739	5.078466	0	11.06	4003	0	0	0	0	1.371657	0.1995166	1
