time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude	compass_heading	latitude	longitude
157332	-2400	-1667	117	-6.257827	3.551238	351.2411	0	11.29	20057	86	71	5	5	0.02	0.865126	8	10	0.08	2800	351.5723	40.92397	-91.39362
157445	-630	511	-116	-6.674702	3.774993	351.1424	0	11.29	20022	91	70	5	5	0.02	0.8599423	8	10	0.08	2800	350.9201	40.92398	-91.39362
157510	-546	-187	451	-6.440034	3.192418	350.0352	0	11.29	20030	91	77	5	5	0.02	0.8577113	8	10	0.08	2800	351.2855	40.92398	-91.39362
157637	473	-1001	337	-4.998727	4.343906	349.3918	0	11.4	20029	97	82	5	5	0.02	0.8648543	8	10	0.08	2800	350.3901	40.92398	-91.39362
157705	-1188	-1167	131	-5.397739	5.555606	349.2217	0	11.4	20044	77	63	5	5	0.02	0.8670401	8	10	0.08	2800	350.755	40.92398	-91.39362
157888	304	-784	-60	-6.103547	4.786341	348.7037	0	11.4	20031	77	69	5	5	0.02	0.8996838	8	10	0.08	2800	352.8463	40.92398	-91.39362
157950	2545	-1184	-399	-2.873646	7.328377	349.2262	0	11.4	20033	79	69	5	5	0.02	0.9138463	8	10	0.08	2800	353.5305	40.92398	-91.39362
158037	2284	330	-357	-0.6594953	7.90275	349.8355	0	11.4	20032	72	59	5	5	0.02	0.9637362	8	10	0.08	2800	353.9974	40.92398	-91.39362
158119	86	1629	-663	-0.5106278	6.283156	350.4649	0	11.4	20069	82	72	5	5	0.02	1.014435	8	10	0.08	2800	353.1579	40.92398	-91.39362
158239	-1566	-2938	-690	-4.954948	9.389443	352.0446	0	11.4	20033	72	67	5	5	0.02	1.083944	8	10	0.08	2800	353.3107	40.92398	-91.39362
158295	1435	-2398	-811	-5.140472	10.59103	352.4695	0	11.4	20057	71	68	5	5	0.02	1.098135	8	10	0.08	2800	353.3107	40.92398	-91.39362
158454	1194	176	-338	-3.828105	12.24785	353.7028	0	11.4	20030	64	53	5	5	0.02	1.189614	8	10	0.08	2800	352.1774	40.92398	-91.39362
158500	67	160	-469	-3.779577	12.2216	353.8017	0	11.57	20053	63	57	5	5	0.02	1.225678	8	10	0.08	2800	352.1774	40.92398	-91.39362
158633	-741	2226	-1204	-5.057323	11.55359	356.0247	0	11.57	20057	56	56	5	5	0.02	1.295555	8	10	0.08	2800	351.7856	40.92398	-91.39362
158724	1289	4340	-1105	-4.418881	7.700653	357.175	0	11.57	20031	59	61	5	5	0.02	1.318208	8	10	0.08	2800	354.1954	40.92398	-91.39362
158811	-2258	489	-961	-0.4221593	1.899156	358.6266	0	11.57	20033	59	53	5	5	0.02	1.360639	8	10	0.08	2800	359.7751	40.92398	-91.39362
158930	-1563	-2377	-228	-6.526417	6.438945	359.2487	0	11.57	20075	59	48	5	5	0.02	1.38976	8	10	0.08	2800	1.408356	40.92398	-91.39362
159007	-338	-829	677	-6.825287	7.128842	359.2565	0	11.57	20023	49	37	5	5	0.02	1.417541	8	10	0.08	2800	358.94	40.92398	-91.39362
159118	4937	3556	731	-2.514825	2.784163	359.0692	0	11.57	20031	43	24	5	5	0.02	1.440558	8	10	0.08	2800	0.3856812	40.92397	-91.39362
159213	-631	-88	1170	0.4468014	0.1927424	358.3907	0	11.57	20025	38	21	5	5	0.02	1.453442	8	10	0.08	2800	0.8374023	40.92397	-91.39362
159328	-3487	-2691	399	-5.59179	3.455433	357.9085	0	11.57	20031	35	25	5	5	0.02	1.46588	8	10	0.08	2800	358.3364	40.92397	-91.39362
159419	-487	1394	163	-6.430379	4.721352	357.096	0	11.29	20036	38	30	5	5	0.02	1.485014	8	10	0.08	2800	357.4844	40.92397	-91.39362
159575	1399	3421	1114	-5.022877	0.2225223	355.575	0	11.29	20030	38	32	5	5	0.02	1.498788	8	10	0.08	2800	356.7977	40.92397	-91.39362
159644	-1323	-2040	675	-1.944308	-1.207928	354.2402	0	11.29	20032	39	35	5	5	0.02	1.498126	8	10	0.08	2800	356.7015	40.92397	-91.39362
159768	1620	-944	705	-3.632613	3.164396	352.2466	0	11.29	20031	40	36	5	5	0.02	1.485988	8	10	0.08	2800	351.7303	40.92397	-91.39362
159840	3062	309	299	-1.385101	3.636509	351.7579	0	11.29	20039	38	29	5	5	0.02	1.477647	8	10	0.08	2800	350.8214	40.92397	-91.39362
159975	-1472	749	644	-1.023978	2.005067	350.9953	0	11.29	20033	2	-15	5	5	0.02	1.453145	8	10	0.08	2800	348.6234	40.92397	-91.39362
160117	2104	731	584	-1.405774	-0.790871	350.2377	0	11.29	20043	5	-7	5	5	0.02	1.432552	8	10	0.08	2800	349.8119	40.92397	-91.39362
160221	-1128	-480	-243	0.02965348	0.6015898	350.2624	0	11.29	20058	-1	-12	5	5	0.02	1.423307	8	10	0.08	2800	351.3531	40.92397	-91.39362
160265	-56	106	652	-0.9515838	0.8333956	350.1858	0	11.29	20029	-2	-14	5	5	0.02	1.423542	8	10	0.08	2800	349.3949	40.92397	-91.39362
160381	1304	1275	653	-1.553566	0.2483521	350.1208	0	11.68	20022	10	-17	5	5	0.02	1.428084	8	10	0.08	2800	351.229	40.92397	-91.39362
160560	1070	-1945	270	-1.387258	0.160492	349.9524	0	11.68	20007	4	1	5	5	0.02	1.453573	8	10	0.08	2800	351.8286	40.92396	-91.39362
160683	223	-1125	-1016	0.1684431	-0.130217	350.8102	0	11.68	20053	5	10	5	5	0.02	1.470378	8	10	0.08	2800	352.9738	40.92396	-91.39362
160737	667	-1966	-33	0.3452694	0.619156	351.0562	0	11.68	20027	2	10	5	5	0.02	1.488498	8	10	0.08	2800	352.9738	40.92396	-91.39362
160942	1177	997	-479	-0.7840511	5.403501	351.9147	0	11.68	20053	13	15	5	5	0.02	1.544307	8	10	0.08	2800	350.6039	40.92396	-91.39363
160992	851	928	150	-0.2370665	4.421004	352.2183	0	11.68	20036	14	16	5	5	0.02	1.551078	8	10	0.08	2800	351.0727	40.92396	-91.39363
161086	-23	1893	-638	0.3543309	1.982784	352.8989	0	11.68	20038	5	8	5	5	0.02	1.581053	8	10	0.08	2800	351.699	40.92396	-91.39363
161212	1179	1110	-328	0.1324602	0.2892037	353.7775	0	11.68	20027	9	13	5	5	0.02	1.607761	8	10	0.08	2800	352.9139	40.92396	-91.39363
161330	-324	-1737	-226	-1.310448	1.483824	354.0303	0	11.51	20028	6	17	5	5	0.02	1.620215	8	10	0.08	2800	351.9206	40.92396	-91.39363
161412	-700	-208	365	-2.400467	2.810538	353.6552	0	11.51	20025	5	11	5	5	0.02	1.637988	8	10	0.08	2800	351.1328	40.92396	-91.39363
161473	360	-84	324	-3.086457	2.675061	353.2131	0	11.51	20031	14	17	5	5	0.02	1.657848	8	10	0.08	2800	350.6838	40.92396	-91.39363
161541	855	439	438	-2.907069	2.828149	353.0191	0	11.51	20035	15	25	5	5	0.02	1.664531	8	10	0.08	2800	352.1716	40.92396	-91.39363
161628	406	361	529	-1.227565	0.9443899	352.6132	0	11.51	20038	11	20	5	5	0.02	1.688947	8	10	0.08	2800	347.9727	40.92396	-91.39363
161797	1286	879	442	-0.05888612	1.37965	352.3034	0	11.51	20008	9	10	5	5	0.02	1.716274	8	10	0.08	2800	349.2327	40.92395	-91.39363
161849	-225	-88	-93	-0.2030388	1.20753	352.3316	0	11.51	20032	9	14	5	5	0.02	1.731977	8	10	0.08	2800	349.2327	40.92395	-91.39363
161980	150	-104	-879	-0.9644811	1.832934	353.3222	0	11.51	20028	18	22	5	5	0.02	1.743188	8	10	0.08	2800	349.2977	40.92395	-91.39363
162139	-927	635	-682	-1.575986	0.4937731	354.856	0	11.51	20032	14	18	5	5	0.02	1.732806	8	10	0.08	2800	349.5529	40.92395	-91.39364
162199	206	28	-476	-2.20611	1.035102	355.463	0	11.51	20029	14	25	5	5	0.02	1.73248	8	10	0.08	2800	352.4741	40.92395	-91.39364
162291	-1384	-1050	109	-2.222992	2.31286	355.954	0	11.51	20031	21	36	5	5	0.02	1.731075	8	10	0.08	2800	351.3255	40.92396	-91.39364
162454	914	1050	716	-2.847619	2.737311	355.9071	0	11.51	20063	18	36	5	5	0.02	1.730947	8	10	0.08	2800	350.8917	40.92396	-91.39364
162562	1086	235	354	-0.9885289	2.347978	355.4241	0	11.51	20038	25	32	5	5	0.02	1.728116	8	10	0.08	2800	350.498	40.92396	-91.39364
162704	-976	-607	120	-0.9807357	1.411671	355.5406	0	11.51	20029	40	41	5	5	0.02	1.71606	8	10	0.08	2800	350.8706	40.92396	-91.39363
162811	102	-392	350	-2.455832	1.856607	355.1266	0	11.51	20034	33	38	5	5	0.02	1.707081	8	10	0.08	2800	351.0818	40.92396	-91.39363
162880	-675	-447	374	-3.203985	3.261184	354.8297	0	11.51	20021	33	38	5	5	0.02	1.696486	8	10	0.08	2800	349.1139	40.92396	-91.39363
162934	-1264	212	666	-3.693572	2.989192	354.5821	0	11.51	20031	34	45	5	5	0.02	1.687137	8	10	0.08	2800	348.9106	40.92396	-91.39363
163074	-2363	10	495	-3.120239	3.176184	353.0251	0	11.34	20030	48	51	5	5	0.02	1.669233	8	10	0.08	2800	347.0295	40.92396	-91.39363
163190	1715	-151	952	-3.33114	3.378188	351.6138	0	11.34	20009	44	46	5	5	0.02	1.658906	8	10	0.08	2800	345.0402	40.92396	-91.39363
163244	404	444	745	-3.102299	3.387075	351.2257	0	11.34	20032	46	47	5	5	0.02	1.64809	8	10	0.08	2800	345.0402	40.92396	-91.39363
163354	-130	-385	272	-4.216742	3.523272	350.4772	0	11.34	20062	56	46	5	5	0.02	1.640255	8	10	0.08	2800	342.6408	40.92396	-91.39363
163472	1309	543	-338	-3.263298	4.495471	349.9765	0	11.34	20057	54	46	5	5	0.02	1.634631	8	10	0.08	2800	342.8616	40.92396	-91.39363
163555	-114	1334	570	-2.140174	3.429282	349.6082	0	11.34	20009	57	46	5	5	0.02	1.635573	8	10	0.08	2800	342.7989	40.92396	-91.39363
163640	-1309	-1260	256	-3.882863	3.561909	349.3016	0	11.34	20032	58	47	5	5	0.02	1.636936	8	10	0.08	2800	341.9707	40.92396	-91.39363
163782	941	-583	-471	-3.712072	3.429902	349.0213	0	11.34	20055	59	47	5	5	0.02	1.634131	8	10	0.08	2800	341.9663	40.92397	-91.39363
163840	-1086	6	-411	-4.020296	2.825579	349.2471	0	11.34	20032	59	47	5	5	0.02	1.633271	8	10	0.08	2800	341.7178	40.92397	-91.39363
163946	-1712	-703	-371	-5.593527	3.710286	349.2068	0	11.34	20033	62	57	5	5	0.02	1.631124	8	10	0.08	2800	343.0655	40.92397	-91.39363
164122	1329	447	-373	-3.923575	2.801172	349.7867	0	10.83	20032	71	57	5	5	0.02	1.621161	8	10	0.08	2800	343.464	40.92397	-91.39362
164193	-813	-893	365	-4.024748	2.817326	350.2379	0	10.83	20037	78	59	5	5	0.02	1.61695	8	10	0.08	2800	344.4977	40.92397	-91.39362
164295	-1129	-1569	-1012	-5.689435	4.260506	350.9132	0	10.83	20030	81	59	5	5	0.02	1.612794	8	10	0.08	2800	344.2574	40.92397	-91.39362
164392	1717	883	-1458	-3.064935	3.798032	352.5169	0	10.83	20033	72	59	5	5	0.02	1.613645	8	10	0.08	2800	345.4547	40.92397	-91.39362
164442	375	672	-549	-2.111339	3.324696	352.9628	0	10.83	20039	73	58	5	5	0.02	1.612805	8	10	0.08	2800	345.4547	40.92397	-91.39362
164640	-964	-842	-749	-3.658636	4.401425	355.4477	0	10.83	20074	72	74	5	5	0.02	1.621913	8	10	0.08	2800	349.7245	40.92397	-91.39362
