time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude	compass_heading	latitude	longitude
376902	-4096	-3568	-2414	-12.06762	1.33665	18.24665	0	11.51	4004	1422	1138	1470	1566	0.02	1.980679	8	10	0.08	2800	15.17245	40.92393	-91.39363
376942	-2578	-1132	-1417	-13.54141	2.452541	19.16928	0	11.51	4002	1357	1403	1529	1315	0.02	1.969243	8	10	0.08	2800	15.40384	40.92393	-91.39362
377025	-1643	-414	156	-15.88797	4.416559	20.89808	0	11.51	4004	1473	1419	1379	1325	0.02	1.934632	8	10	0.08	2800	20.04407	40.92393	-91.39362
377114	560	151	1194	-16.51101	4.749972	20.57076	0	11.51	4002	1479	1541	1361	1231	0.02	1.872614	8	10	0.08	2800	20.26022	40.92393	-91.39362
377223	1717	256	446	-14.00756	2.544912	19.95675	0	11.34	4003	1504	1730	1406	1084	0.02	1.836707	8	10	0.08	2800	26.71497	40.92393	-91.39362
377375	914	-2184	-263	-12.46753	4.301359	19.62696	0	11.34	4003	1272	1202	1594	1536	0.02	1.76867	8	10	0.08	2800	25.56097	40.92393	-91.39362
377481	-982	333	-410	-14.46393	5.18689	19.20795	0	11.34	4002	1452	1204	1404	1520	0.02	1.702927	8	10	0.08	2800	23.89893	40.92393	-91.39362
377591	1548	-408	-41	-11.99549	3.828396	29.67249	0	11.34	4003	1563	1381	1267	1365	0.02	1.670474	8	10	0.08	2800	29.9205	40.92393	-91.39362
377724	1110	470	1044	-7.760262	4.640937	28.51148	0	11.34	4004	1602	1304	1196	1462	0.02	1.625337	8	10	0.08	2800	28.05664	40.92393	-91.39362
377757	1110	470	1044	-7.760262	4.640937	28.51148	0	11.34	4004	1387	1573	1417	1191	0.02	1.617908	8	10	0.08	2800	28.05664	40.92393	-91.39362
377871	1812	923	959	-5.296526	1.524323	27.64099	0	11.34	4003	1439	1581	1403	1221	0.02	1.573426	8	10	0.08	2800	27.43405	40.92394	-91.39362
377994	1365	842	261	-3.340907	0.5586215	28.38068	0	11.34	4002	1573	1587	1263	1109	0.02	1.55368	8	10	0.08	2800	26.05847	40.92394	-91.39362
378090	-930	-1581	1047	-6.887033	2.63694	26.69748	0	11.34	4003	1458	1622	1394	1078	0.02	1.542535	8	10	0.08	2800	22.99826	40.92394	-91.39362
378227	1330	375	2780	-6.630342	4.023486	12.73576	0	11.63	4004	1450	1514	1376	1176	0.02	1.527266	8	10	0.08	2800	14.064	40.92394	-91.39363
378286	-168	126	3042	-6.488818	3.312884	9.849839	0	11.63	4003	1410	1444	1400	1270	0.02	1.519511	8	10	0.08	2800	10.14661	40.92394	-91.39363
378350	1951	1286	3346	-6.099611	1.90859	6.848967	0	11.63	4004	1471	1417	1337	1287	0.02	1.513375	8	10	0.08	2800	1.688477	40.92394	-91.39363
378497	1134	1201	3804	-3.708771	-0.1516613	0.7339121	0	11.63	4002	1455	1541	1299	1185	0.02	1.518693	8	10	0.08	2800	358.2541	40.92394	-91.39363
378658	-931	-2672	2416	-2.83372	-0.9298068	354.4147	0	11.63	4003	1263	1261	1479	1497	0.02	1.524745	8	10	0.08	2800	347.1533	40.92394	-91.39363
378818	654	418	-244	-1.344782	-0.9830981	336.5332	0	11.63	4002	1368	1488	1372	1248	0.02	1.539448	8	10	0.08	2800	336.6451	40.92394	-91.39364
378939	-278	-1988	466	-2.093455	0.8207132	336.038	0	11.63	4003	1170	1452	1572	1286	0.02	1.545776	8	10	0.08	2800	333.5036	40.92394	-91.39364
378974	2024	2203	-1913	-1.626802	-0.04059114	337.1087	0	11.63	4003	1239	1649	1503	1085	0.02	1.549149	8	10	0.08	2800	331.0608	40.92394	-91.39364
379036	3385	2771	-1004	-0.172541	-1.14149	337.7688	0	11.63	4003	1515	1673	1261	1023	0.02	1.55561	8	10	0.08	2800	331.0608	40.92394	-91.39364
379214	-1830	-235	-2866	-0.6039174	-2.705111	342.1808	0	11	4003	1470	1244	1364	1394	0.02	1.569778	8	10	0.08	2800	338.1416	40.92394	-91.39364
379314	-585	-2367	-1916	0.04910641	-0.6673969	345.6684	0	11	4004	1472	974	1364	1638	0.02	1.580389	8	10	0.08	2800	341.3572	40.92394	-91.39364
379402	-1940	-1071	-1030	-2.470282	2.735213	349.3418	0	11	4002	1489	1383	1319	1245	0.02	1.604427	8	10	0.08	2800	341.2195	40.92393	-91.39365
379551	3349	2044	-48	0.3034706	1.30646	350.8265	0	11	4003	1419	1359	1385	1269	0.02	1.630457	8	10	0.08	2800	343.5942	40.92393	-91.39365
379608	1766	341	582	1.569155	0.8110043	350.8161	0	11	4002	1415	1451	1381	1181	0.02	1.648684	8	10	0.08	2800	343.5942	40.92393	-91.39365
379764	-1969	118	912	-0.3415797	-1.363728	349.0293	0	11	4004	1254	1150	1520	1496	0.02	1.687857	8	10	0.08	2800	340.7472	40.92393	-91.39365
379898	-29	725	1462	-0.1119177	-1.577667	346.5726	0	11	4009	1224	1218	1502	1436	0.02	1.732901	8	10	0.08	2800	338.4665	40.92393	-91.39365
380049	746	2482	1077	-0.9801947	-5.862425	332.4228	0	11.46	4002	1446	1524	1294	1180	0.02	1.765405	8	10	0.08	2800	334.5922	40.92393	-91.39365
