time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude
100924	-44	-37	1	-0.5958464	0.4848055	9.11461	0	11.06	4003	0	0	0	0	1.262239	0.03345687	1	40	0.01	2100
101116	-35	-38	5	-0.5865503	0.4762288	9.100675	0	11.06	4004	0	0	0	0	1.262239	0.02017399	1	40	0.01	2100
101244	-37	-37	9	-0.5929502	0.4717458	9.088817	0	11.06	4004	0	0	0	0	1.262239	0.01329608	1	40	0.01	2100
101314	-43	-43	2	-0.5918944	0.4712839	9.083378	0	11.06	4003	0	0	0	0	1.262239	0.009452812	1	40	0.01	2100
101388	-38	-31	4	-0.5885152	0.4756512	9.077571	0	11.06	4003	0	0	0	0	1.262239	0.008713482	1	40	0.01	2100
101464	-39	-40	4	-0.5850229	0.4728588	9.07158	0	11.06	4002	0	0	0	0	1.262239	0.0183032	1	40	0.01	2100
101578	-40	-39	5	-0.5896223	0.4688011	9.065407	0	11.06	4004	0	0	0	0	1.262239	0.03831816	1	40	0.01	2100
101675	-38	-36	1	-0.5846184	0.4662156	9.05948	0	11.06	4002	0	0	0	0	1.262239	0.0504793	1	40	0.01	2100
101792	-37	-37	4	-0.5832578	0.4618419	9.052148	0	11.06	4003	0	0	0	0	1.262239	0.06738479	1	40	0.01	2100
101945	-39	-35	1	-0.5851259	0.455146	9.041695	0	11	4003	0	0	0	0	1.262239	0.08334791	1	40	0.01	2100
102057	-48	-37	6	-0.5814272	0.4466947	9.036196	0	11	4003	0	0	0	0	1.262239	0.08477595	1	40	0.01	2100
102148	-45	-37	6	-0.5871254	0.4473494	9.028438	0	11	4003	0	0	0	0	1.262239	0.07954138	1	40	0.01	2100
102296	-21	-31	3	-0.5790083	0.4440232	9.020801	0	11	4002	0	0	0	0	1.262239	0.07216221	1	40	0.01	2100
102430	-44	-33	0	-0.574254	0.4396841	9.011388	0	11	4004	0	0	0	0	1.262239	0.06381962	1	40	0.01	2100
102478	-41	-33	8	-0.5766189	0.431452	9.007661	0	11	4003	0	0	0	0	1.262239	0.05895326	1	40	0.01	2100
102610	-36	-38	6	-0.5663699	0.4256733	9.000083	0	11	4004	0	0	0	0	1.262239	0.04471808	1	40	0.01	2100
102725	-41	-35	2	-0.5594237	0.4227837	8.994704	0	11	4002	0	0	0	0	1.262239	0.03881308	1	40	0.01	2100
102810	-26	-35	5	-0.5521818	0.4235895	8.989511	0	11.06	4003	0	0	0	0	1.262239	0.04430529	1	40	0.01	2100
102922	-41	-36	3	-0.5533426	0.418942	8.981019	0	11.06	4004	0	0	0	0	1.262239	0.04112881	1	40	0.01	2100
103014	-31	-32	3	-0.5622773	0.417284	8.977108	0	11.06	4003	0	0	0	0	1.262239	0.03474165	1	40	0.01	2100
103104	-37	-30	6	-0.5481606	0.4216537	8.96947	0	11.06	4003	0	0	0	0	1.262239	0.03708193	1	40	0.01	2100
103219	-38	-30	4	-0.5438969	0.4174395	8.964154	0	11.06	4003	0	0	0	0	1.262239	0.0360763	1	40	0.01	2100
103285	-35	-33	2	-0.5469348	0.414862	8.961162	0	11.06	4002	0	0	0	0	1.262239	0.03656077	1	40	0.01	2100
103422	-41	-31	0	-0.5424253	0.4071669	8.955115	0	11.06	4003	0	0	0	0	1.262239	0.0398781	1	40	0.01	2100
103531	-29	-34	1	-0.5324736	0.4076689	8.946373	0	11.06	4003	0	0	0	0	1.262239	0.04275121	1	40	0.01	2100
103597	-43	-34	3	-0.5286754	0.4049267	8.941729	0	11.06	4003	0	0	0	0	1.262239	0.04450084	1	40	0.01	2100
103703	-38	-32	3	-0.5267839	0.3988846	8.935987	0	11.06	4003	0	0	0	0	1.262239	0.04823445	1	40	0.01	2100
103793	-31	-34	-3	-0.5238848	0.3933969	8.933969	0	11.06	4003	0	0	0	0	1.262239	0.05118651	1	40	0.01	2100
103889	-25	-33	0	-0.516174	0.3858863	8.928102	0	11.06	4003	0	0	0	0	1.262239	0.05606286	1	40	0.01	2100
103996	-39	-38	3	-0.5171096	0.3817139	8.921442	0	11.06	4003	0	0	0	0	1.262239	0.05886102	1	40	0.01	2100
104092	-29	-37	4	-0.5131255	0.3811555	8.916615	0	11.06	4003	0	0	0	0	1.262239	0.06455344	1	40	0.01	2100
104200	-34	-32	3	-0.511293	0.3857216	8.911301	0	11.06	4004	0	0	0	0	1.262239	0.0713423	1	40	0.01	2100
104294	-29	-33	2	-0.5093055	0.3797627	8.905801	0	11.06	4004	0	0	0	0	1.262239	0.0833607	1	40	0.01	2100
104393	-35	-31	3	-0.5098589	0.3734451	8.902869	0	11.06	4003	0	0	0	0	1.262239	0.09359939	1	40	0.01	2100
104510	-37	-34	0	-0.5058702	0.3749585	8.896576	0	11.06	4003	0	0	0	0	1.262239	0.0973989	1	40	0.01	2100
104608	-26	-32	9	-0.5080932	0.3806002	8.893398	0	11.11	4004	0	0	0	0	1.262239	0.1053082	1	40	0.01	2100
104738	-35	-37	2	-0.4979356	0.3768055	8.8879	0	11.11	4002	0	0	0	0	1.262239	0.1080752	1	40	0.01	2100
104805	-38	-30	0	-0.5020579	0.3748736	8.885579	0	11.11	4003	0	0	0	0	1.262239	0.1035096	1	40	0.01	2100
104908	-30	-26	3	-0.495191	0.3737175	8.880813	0	11.11	4002	0	0	0	0	1.262239	0.08938437	1	40	0.01	2100
105012	-46	-37	0	-0.4954821	0.3745618	8.878004	0	11.11	4002	0	0	0	0	1.262239	0.08003023	1	40	0.01	2100
105115	-32	-30	2	-0.4935794	0.3773579	8.871586	0	11.11	4003	0	0	0	0	1.262239	0.07931037	1	40	0.01	2100
105217	-25	-34	6	-0.4884318	0.3725205	8.86578	0	11.11	4003	0	0	0	0	1.262239	0.07676622	1	40	0.01	2100
105372	-35	-32	4	-0.4868957	0.3673008	8.861504	0	11.11	4003	0	0	0	0	1.262239	0.07462607	1	40	0.01	2100
105468	-30	-30	0	-0.4907232	0.3650983	8.857046	0	11.11	4004	0	0	0	0	1.262239	0.07628608	1	40	0.01	2100
105563	-23	-30	3	-0.4823015	0.3584007	8.853014	0	11.06	4002	0	0	0	0	1.262239	0.07598212	1	40	0.01	2100
105637	-32	-28	0	-0.4857031	0.3545964	8.848554	0	11.06	4004	0	0	0	0	1.262239	0.07314637	1	40	0.01	2100
105726	-35	-29	4	-0.4823924	0.352773	8.845866	0	11.06	4004	0	0	0	0	1.262239	0.06651038	1	40	0.01	2100
105844	-36	-25	4	-0.4828272	0.3493182	8.839513	0	11.06	4004	0	0	0	0	1.262239	0.05890833	1	40	0.01	2100
106025	-36	-30	4	-0.4806702	0.3347964	8.830775	0	11.06	4003	0	0	0	0	1.262239	0.0401104	1	40	0.01	2100
106193	-27	-31	4	-0.4799186	0.3370698	8.819409	0	11.06	4004	0	0	0	0	1.262239	0.01825289	1	40	0.01	2100
106280	-44	-35	-2	-0.4753717	0.3325994	8.815744	0	11.06	4004	0	0	0	0	1.262239	0.01046293	1	40	0.01	2100
106341	-38	-39	0	-0.4785459	0.3279364	8.813851	0	11.06	4002	0	0	0	0	1.262239	0.01614944	1	40	0.01	2100
106398	-26	-24	7	-0.476384	0.3296299	8.810491	0	11.06	4004	0	0	0	0	1.262239	0.02078045	1	40	0.01	2100
106512	-35	-29	3	-0.4695657	0.3259237	8.804809	0	11.06	4004	0	0	0	0	1.262239	0.02872604	1	40	0.01	2100
106643	-22	-29	2	-0.4616217	0.3248743	8.799618	0	11.06	4005	0	0	0	0	1.262239	0.02598823	1	40	0.01	2100
106722	-23	-30	6	-0.4487881	0.3209803	8.795464	0	11.06	4004	0	0	0	0	1.262239	0.01637913	1	40	0.01	2100
106791	-30	-25	0	-0.4417558	0.3183233	8.792653	0	11.06	4003	0	0	0	0	1.262239	0.008640553	1	40	0.01	2100
106923	-26	-22	6	-0.4374996	0.3116473	8.785015	0	11.06	4002	0	0	0	0	1.262239	-0.00282292	1	40	0.01	2100
107093	-35	-26	0	-0.4381457	0.309847	8.777379	0	11.06	4004	0	0	0	0	1.262239	-0.00811668	1	40	0.01	2100
107175	-22	-32	1	-0.4399838	0.303229	8.774631	0	11.06	4004	0	0	0	0	1.262239	0.0007741053	1	40	0.01	2100
107239	-27	-29	1	-0.4366342	0.2981648	8.77341	0	11.06	4003	0	0	0	0	1.262239	0.01494356	1	40	0.01	2100
107312	-34	-29	2	-0.4271393	0.299785	8.772432	0	11.17	4002	0	0	0	0	1.262239	0.0249039	1	40	0.01	2100
107371	-33	-28	6	-0.4257748	0.297718	8.770906	0	11.17	4002	0	0	0	0	1.262239	0.0335434	1	40	0.01	2100
107519	-31	-24	7	-0.425635	0.2937567	8.764251	0	11.17	4003	0	0	0	0	1.262239	0.05647156	1	40	0.01	2100
107638	-34	-21	0	-0.4308245	0.293059	8.760462	0	11.17	4003	0	0	0	0	1.262239	0.07314148	1	40	0.01	2100
107755	-33	-28	4	-0.418002	0.2820041	8.757224	0	11.17	4003	0	0	0	0	1.262239	0.09690233	1	40	0.01	2100
107798	-34	-30	1	-0.4170977	0.2797695	8.755879	0	11.17	4003	0	0	0	0	1.262239	0.09846484	1	40	0.01	2100
107882	-32	-34	2	-0.415973	0.2781854	8.75368	0	11.17	4003	0	0	0	0	1.262239	0.1085309	1	40	0.01	2100
107985	-22	-28	5	-0.410835	0.282193	8.751055	0	11.17	4003	0	0	0	0	1.262239	0.1159779	1	40	0.01	2100
108086	-26	-20	0	-0.3986025	0.2719469	8.747573	0	11.17	4002	0	0	0	0	1.262239	0.1278857	1	40	0.01	2100
108185	-21	-23	0	-0.3987572	0.2682844	8.744702	0	11.17	4004	0	0	0	0	1.262239	0.140728	1	40	0.01	2100
108316	-32	-28	1	-0.3907437	0.2669097	8.73994	0	11.06	4003	0	0	0	0	1.262239	0.1416926	1	40	0.01	2100
108392	-29	-23	-3	-0.389178	0.2612439	8.738779	0	11.06	4004	0	0	0	0	1.262239	0.1360756	1	40	0.01	2100
108495	-14	-20	4	-0.3926623	0.264007	8.733161	0	11.06	4004	0	0	0	0	1.262239	0.1303237	1	40	0.01	2100
108589	-15	-25	2	-0.3883335	0.2611856	8.73249	0	11.06	4003	0	0	0	0	1.262239	0.1220623	1	40	0.01	2100
108696	-24	-23	2	-0.3925753	0.2559558	8.729803	0	11.06	4002	0	0	0	0	1.262239	0.1181138	1	40	0.01	2100
108820	-28	-23	0	-0.3841591	0.2500749	8.726015	0	11.06	4003	0	0	0	0	1.262239	0.1192003	1	40	0.01	2100
108911	-32	-22	0	-0.3871597	0.2494041	8.724916	0	11.06	4003	0	0	0	0	1.262239	0.1211956	1	40	0.01	2100
109045	-22	-23	9	-0.3917295	0.2559144	8.719907	0	11.06	4002	0	0	0	0	1.262239	0.1192719	1	40	0.01	2100
109242	-17	-23	4	-0.3893941	0.2541852	8.714286	0	11.11	4003	0	0	0	0	1.262239	0.1096629	1	40	0.01	2100
109354	-11	-24	2	-0.3853072	0.2550105	8.712209	0	11.11	4003	0	0	0	0	1.262239	0.1096328	1	40	0.01	2100
109430	-21	-20	5	-0.3865148	0.2480587	8.708173	0	11.11	4004	0	0	0	0	1.262239	0.1100853	1	40	0.01	2100
109522	-32	-21	3	-0.3874657	0.2445392	8.707073	0	11.11	4003	0	0	0	0	1.262239	0.118134	1	40	0.01	2100
109588	-26	-21	1	-0.37875	0.2463576	8.704936	0	11.11	4004	0	0	0	0	1.262239	0.1238073	1	40	0.01	2100
109695	-21	-23	1	-0.385307	0.2352788	8.701942	0	11.11	4004	0	0	0	0	1.262239	0.1268687	1	40	0.01	2100
109794	-29	-27	4	-0.3812209	0.2344965	8.700536	0	11.11	4003	0	0	0	0	1.262239	0.1302704	1	40	0.01	2100
109902	-15	-22	2	-0.3739922	0.2285161	8.69571	0	11.11	4003	0	0	0	0	1.262239	0.1428153	1	40	0.01	2100
110045	-29	-28	0	-0.3683728	0.2311441	8.691801	0	11.11	4002	0	0	0	0	1.262239	0.1520968	1	40	0.01	2100
110144	-18	-21	7	-0.3589978	0.2237829	8.685811	0	11.06	4004	0	0	0	0	1.262239	0.1516639	1	40	0.01	2100
110201	-25	-16	5	-0.3659511	0.2172593	8.68074	0	11.06	4004	0	0	0	0	1.262239	0.1509787	1	40	0.01	2100
110305	-16	-25	1	-0.3656884	0.2189638	8.677259	0	11.06	4004	0	0	0	0	1.262239	0.1493648	1	40	0.01	2100
110502	-31	-21	2	-0.3639391	0.2202708	8.672008	0	11.06	4002	0	0	0	0	1.262239	0.1541967	1	40	0.01	2100
110583	-16	-14	4	1.462213	0.2209821	8.666752	0	11.06	4003	0	0	0	0	1.262239	0.1590748	1	40	0.01	2100
110632	-19	-15	-2	-0.3604119	0.2189732	8.664307	0	11.06	4004	0	0	0	0	1.262239	0.1583535	1	40	0.01	2100
110701	-18	-22	4	-0.3607675	0.2163368	8.663573	0	11.06	4004	0	0	0	0	1.262239	0.1533715	1	40	0.01	2100
110794	-28	-23	4	-0.3627559	0.2168026	8.661741	0	11.06	4002	0	0	0	0	1.262239	0.1399205	1	40	0.01	2100
110915	-27	-24	0	-0.3546281	0.2204387	8.657953	0	11.06	4003	0	0	0	0	1.262239	0.125057	1	40	0.01	2100
111053	-28	-21	3	-0.3477838	0.2251871	8.654593	0	11.11	4004	0	0	0	0	1.262239	0.1159685	1	40	0.01	2100
111176	-17	-21	0	-0.3328671	0.2187974	8.649461	0	11.11	4002	0	0	0	0	1.262239	0.09619503	1	40	0.01	2100
111255	-18	-22	3	-0.3306548	0.2188771	8.647873	0	11.11	4004	0	0	0	0	1.262239	0.09148271	1	40	0.01	2100
111363	-24	-24	0	-0.3335439	0.216731	8.645429	0	11.11	4002	0	0	0	0	1.262239	0.08312871	1	40	0.01	2100
111402	-16	-14	0	-0.3325003	0.2155054	8.644572	0	11.11	4004	0	0	0	0	1.262239	0.07596523	1	40	0.01	2100
111493	-15	-23	0	-0.3298222	0.2120925	8.641153	0	11.11	4004	0	0	0	0	1.262239	0.07468227	1	40	0.01	2100
111696	-13	-18	8	-0.3260499	0.2057609	8.634738	0	11.11	4003	0	0	0	0	1.262239	0.07316981	1	40	0.01	2100
111752	-26	-23	1	-0.3296477	0.2047659	8.632356	0	11.11	4002	0	0	0	0	1.262239	0.06755175	1	40	0.01	2100
111829	-14	-25	3	-0.3214722	0.2093054	8.630463	0	11.11	4003	0	0	0	0	1.262239	0.05596024	1	40	0.01	2100
111897	-26	-22	3	-0.3191449	0.2092259	8.630341	0	11.06	4003	0	0	0	0	1.262239	0.04562377	1	40	0.01	2100
112051	-20	-27	2	-0.3152319	0.2091199	8.625147	0	11.06	4004	0	0	0	0	1.262239	0.04031964	1	40	0.01	2100
112184	-14	-15	2	-0.3129143	0.2093456	8.624047	0	11.06	4004	0	0	0	0	1.262239	0.03669402	1	40	0.01	2100
112358	-18	-19	-1	-0.3179591	0.192467	8.621972	0	11.06	4004	0	0	0	0	1.262239	0.02278637	1	40	0.01	2100
112411	-16	-16	-3	-0.3206487	0.1896647	8.622155	0	11.06	4003	0	0	0	0	1.262239	0.0158953	1	40	0.01	2100
112485	-18	-19	0	-0.3206839	0.1847001	8.620628	0	11.06	4003	0	0	0	0	1.262239	0.01328721	1	40	0.01	2100
112588	-20	-14	0	-0.3068837	0.1823447	8.619286	0	11.06	4002	0	0	0	0	1.262239	0.01397883	1	40	0.01	2100
112695	-14	-14	-2	-0.3015495	0.1817041	8.618797	0	11.06	4004	0	0	0	0	1.262239	0.01245558	1	40	0.01	2100
112841	-29	-16	0	-0.2919078	0.181799	8.61666	0	11.17	4004	0	0	0	0	1.262239	0.002621759	1	40	0.01	2100
112919	-21	-11	-1	-0.2818039	0.1824968	8.616415	0	11.17	4004	0	0	0	0	1.262239	0.004847685	1	40	0.01	2100
112992	-12	-16	0	-0.2750798	0.1752284	8.615131	0	11.17	4003	0	0	0	0	1.262239	0.007506512	1	40	0.01	2100
113129	-20	-20	0	-0.2722809	0.1683763	8.611343	0	11.17	4003	0	0	0	0	1.262239	0.009956956	1	40	0.01	2100
113225	-6	-15	0	-0.2700908	0.1682611	8.612381	0	11.17	4002	0	0	0	0	1.262239	0.01029879	1	40	0.01	2100
113321	-21	-21	2	-0.2626834	0.1676475	8.611711	0	11.17	4003	0	0	0	0	1.262239	0.01359737	1	40	0.01	2100
113394	-25	-23	0	-0.2638617	0.1652967	8.611404	0	11.17	4002	0	0	0	0	1.262239	0.01413456	1	40	0.01	2100
