time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude
147701	896	-420	525	-3.098525	-3.342366	-4.889574	0	11.4	4003	-25	-71	-12	1	0.9868743	0.9607394	4	10	0.01	1600
147760	626	-643	344	-2.433646	-3.581317	-5.051398	0	11.4	4002	-64	-143	-10	1	1.002013	0.9708645	4	10	0.01	1600
147935	1159	1607	-34	-0.7232458	-4.480768	-5.652805	0	11.4	4003	-32	136	-5	0	1.056799	0.9930185	4	10	0.01	1600
147991	236	1063	-20	-0.1329172	-6.356711	-5.360248	0	11.4	4003	-74	200	-3	0	1.091011	1.002855	4	10	0.01	1600
148075	-658	1138	-21	-0.6543033	-6.51974	-5.139822	0	11.4	4003	-34	23	-11	1	0.9950358	1.008394	4	10	0.01	1600
148291	-1801	-1011	439	0.7063996	-10.63532	-4.656427	0	11.4	4002	183	-124	-15	0	1.101729	1.022134	4	10	0.01	1600
148412	238	-1567	915	-1.263507	-7.324625	-5.417826	0	11.4	4003	-52	-149	11	0	1.113561	1.035	4	10	0.01	1600
148493	-83	-343	18	-1.734273	-7.51166	-6.269131	0	11.4	4003	35	-107	21	0	1.096826	1.045119	4	10	0.01	1600
148662	-106	184	-380	-0.3868171	-9.826786	-5.581566	0	11.11	4003	69	-156	-5	0	1.065083	1.064709	4	10	0.01	1600
148764	-370	-1429	143	-0.6860407	-9.452377	-4.808552	0	11.11	4003	97	-148	-13	1	0.982643	1.072679	4	10	0.01	1600
148915	367	607	-237	-0.5491712	-8.695739	-5.066247	0	11.11	4004	-9	-86	-13	0	1.126	1.081951	4	10	0.01	1600
149003	518	143	-265	-0.2665628	-8.620373	-5.18475	0	11.11	4004	38	-39	-9	0	1.131038	1.082399	4	10	0.01	1600
149111	-1501	-906	381	-0.8659425	-8.886384	-5.818142	0	11.11	4003	89	-105	11	0	1.102266	1.084852	4	10	0.01	1600
149307	-298	1441	362	-1.023068	-8.301936	-5.360805	0	11.11	4003	-76	97	-4	0	1.072962	1.072879	4	10	0.01	1600
149384	3	-336	141	-0.6516898	-9.054737	-5.16163	0	11.11	4004	-11	-43	-16	0	1.086002	1.068502	4	10	0.01	1600
149495	400	373	171	0.01828008	-7.804555	-5.084544	0	11.11	4004	-29	-39	-6	0	1.118351	1.053263	4	10	0.01	1600
149551	-793	958	331	-0.5334862	-7.968627	-5.35871	0	11.34	4002	59	-22	5	0	1.142041	1.03931	4	10	0.01	1600
149697	-458	-907	227	-1.371749	-8.028871	-5.599741	0	11.34	4002	0	-27	-1	0	1.014209	1.017794	4	10	0.01	1600
149735	364	-338	-89	-1.519737	-7.282986	-5.634833	0	11.34	4003	-20	55	1	0	1.018741	1.009279	4	10	0.01	1600
149884	572	296	-349	-0.6004633	-6.773083	-5.226426	0	11.34	4009	-128	-136	-10	0	1.045987	0.9566572	4	10	0.01	1600
