time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude
175290	-2408	-916	767	-5.06523	1.728667	0.2558134	0	11.57	4003	22	-43	-13	0	1.378873	0.6484054	3	210	0	1800
175415	-768	1680	-419	-8.468586	-0.6049095	0.4922007	0	11.57	4003	-41	130	-13	0	1.380048	0.6692479	3	210	0	1800
175528	497	-839	-993	-7.74507	-1.663481	0.05221514	0	11.57	4008	53	-153	-7	0	1.380819	0.6799043	3	210	0	1800
175583	1035	-388	-1117	-6.124842	-2.160121	0.02357051	0	11.57	4003	112	-268	-19	0	1.380966	0.6847073	3	210	0	1800
175691	2093	1213	-1712	-2.949782	-7.480643	0.9000955	0	11.57	4003	-136	381	-11	0	1.381422	0.7019117	3	210	0	1800
175785	4049	3444	-1216	0.7756464	-9.89893	1.667059	0	11.57	4002	-111	-120	-56	0	1.381657	0.7101374	3	210	0	1800
175938	750	-569	-735	5.359888	-16.08201	2.001979	0	9.87	4004	70	25	-61	0	1.381875	0.699346	3	210	0	1800
176048	-2066	-827	2026	2.900914	-13.01661	0.7861908	0	9.87	4004	-20	318	-12	0	1.381987	0.6894766	3	210	0	1800
176180	959	2289	-825	2.372743	-11.96097	0.1017737	0	9.87	4002	-28	-257	-8	0	1.382091	0.6695214	3	210	0	1800
176214	460	4066	766	2.632144	-13.39465	0.03002825	0	9.87	4004	27	-131	-18	0	1.382111	0.6675489	3	210	0	1800
176348	763	-146	-1149	1.499146	-14.81024	0.2610638	0	9.87	4003	35	-44	-25	0	1.382173	0.6637993	3	210	0	1800
176456	-616	1277	257	3.573689	-15.08918	0.2586055	0	9.87	4002	22	80	-5	0	1.382205	0.6564062	3	210	0	1800
176551	-650	-1201	37	2.302553	-14.0095	-0.1002247	0	9.87	4003	3	-90	-1	0	1.382228	0.6487035	3	210	0	1800
176707	228	-3396	214	2.922647	-5.656144	0.1429023	0	9.87	4003	17	-10	0	0	1.382249	0.637691	3	210	0	1800
176796	-674	-233	-322	1.312474	-3.103271	0.1569136	0	10.89	4004	-95	121	-6	0	1.38226	0.612875	3	210	0	1800
176928	7711	-3062	2106	-0.5658901	-1.843367	0.5907052	0	10.89	4004	-400	400	25	0	1.382272	0.5677171	3	210	0	1800
177016	-299	49	617	2.441088	-0.2430757	0.1087136	0	10.89	4003	0	0	0	0	1.382277	0.5380815	3	210	0	1800
177147	-5118	2905	854	-5.732237	-3.821629	-1.807652	0	10.89	4002	0	0	0	0	1.382281	0.500024	1	210	0	1800
177201	17637	-12772	105	-5.778115	-1.865989	-2.159056	0	10.89	4002	0	0	0	0	1.382282	0.4801913	1	210	0	1800
177362	-500	425	1539	-1.679787	-0.7820392	-3.479771	0	10.89	4009	0	0	0	0	1.382285	0.4388569	1	210	0	1800
177479	-57	24	-64	-1.601692	-0.7081693	-3.522431	0	10.89	4004	0	0	0	0	1.382287	0.3745008	1	210	0	1800
177574	0	-44	-83	-1.510467	-0.658088	-3.540588	0	10.89	4003	0	0	0	0	1.382288	0.3311622	1	210	0	1800
177649	-52	-76	78	-1.445933	-0.5564927	-3.553735	0	10.89	4002	0	0	0	0	1.382288	0.3051099	1	210	0	1800
177713	-41	-19	18	-1.365788	-0.5071956	-3.554593	0	11.63	4003	0	0	0	0	1.382288	0.2799414	1	210	0	1800
177817	-41	-13	45	-1.272758	-0.4401153	-3.573666	0	11.63	4002	0	0	0	0	1.382289	0.2419243	1	210	0	1800
177920	-39	-23	31	-1.198845	-0.3653487	-3.588215	0	11.63	4002	0	0	0	0	1.382289	0.2054896	1	210	0	1800
178026	-46	-10	-13	-1.117893	-0.3113576	-3.595798	0	11.63	4002	0	0	0	0	1.382289	0.1787716	1	210	0	1800
178175	-39	-6	-18	-1.045608	-0.2378762	-3.615726	0	11.63	4003	0	0	0	0	1.382289	0.1456595	1	210	0	1800
178271	-24	10	46	-0.989581	-0.1955918	-3.627894	0	11.63	4003	0	0	0	0	1.382289	0.1227715	1	210	0	1800
178379	-45	5	-5	-0.9351623	-0.1641153	-3.638529	0	11.63	4002	0	0	0	0	1.382289	0.1007369	1	210	0	1800
178490	-55	-15	12	-0.8858523	-0.1322838	-3.654181	0	11.63	4002	0	0	0	0	1.382289	0.08912464	1	210	0	1800
178589	-30	10	0	-0.8458399	-0.09983524	-3.665004	0	11.63	4004	0	0	0	0	1.382289	0.08453195	1	210	0	1800
178684	-60	7	24	-0.7966853	-0.06920614	-3.677782	0	11.74	4003	0	0	0	0	1.382289	0.08480319	1	210	0	1800
178735	-43	-4	9	-0.7904942	-0.06436579	-3.67925	0	11.74	4003	0	0	0	0	1.382289	0.08503564	1	210	0	1800
178891	-33	0	10	-0.7589882	-0.03207906	-3.695879	0	11.74	4004	0	0	0	0	1.382289	0.08657744	1	210	0	1800
178942	-50	0	-13	-0.7370111	-0.02523123	-3.70236	0	11.74	4004	0	0	0	0	1.382289	0.08671629	1	210	0	1800
179059	-38	0	20	-0.7132198	-0.01345101	-3.714832	0	11.74	4003	0	0	0	0	1.382289	0.0876283	1	210	0	1800
179152	-41	-2	-3	-0.6897364	-0.004328416	-3.723148	0	11.74	4003	0	0	0	0	1.382289	0.08922686	1	210	0	1800
179274	-36	-5	6	-0.6723896	0.0127766	-3.737577	0	11.74	4002	0	0	0	0	1.382289	0.0970754	1	210	0	1800
179465	-35	6	8	-0.6482022	0.03112288	-3.752434	0	11.74	4004	0	0	0	0	1.382289	0.1121772	1	210	0	1800
179517	-34	-1	7	-0.6384907	0.03060799	-3.760138	0	11.74	4004	0	0	0	0	1.382289	0.1147844	1	210	0	1800
179592	-36	4	7	-0.6273985	0.03146031	-3.766312	0	11.68	4002	0	0	0	0	1.382289	0.1132186	1	210	0	1800
179678	-41	-1	8	-0.6162312	0.03601205	-3.772976	0	11.68	4003	0	0	0	0	1.382289	0.1090775	1	210	0	1800
179772	-38	2	8	-0.5979358	0.04734446	-3.786731	0	11.68	4003	0	0	0	0	1.382289	0.1126463	1	210	0	1800
179898	-37	2	3	-0.5807064	0.04761162	-3.796757	0	11.68	4002	0	0	0	0	1.382289	0.1185007	1	210	0	1800
179962	-42	3	6	-0.5738792	0.04874492	-3.80018	0	11.68	4002	0	0	0	0	1.382289	0.1208296	1	210	0	1800
180070	-34	0	8	-0.5719137	0.04796211	-3.812652	0	11.68	4004	0	0	0	0	1.382289	0.1221597	1	210	0	1800
180171	-32	-2	4	-0.5579292	0.04641682	-3.817298	0	11.68	4004	0	0	0	0	1.382289	0.1208968	1	210	0	1800
180391	-26	0	2	-0.5500575	0.04936758	-3.839124	0	11.68	4003	0	0	0	0	1.382289	0.1099998	1	210	0	1800
180486	-32	4	2	-0.5432898	0.05227711	-3.845482	0	11.68	4004	0	0	0	0	1.382289	0.1060931	1	210	0	1800
180603	-30	7	4	-0.53802	0.05086828	-3.857037	0	11.74	4003	0	0	0	0	1.382289	0.1042379	1	210	0	1800
180753	-35	3	4	-0.53241	0.04643502	-3.869693	0	11.74	4004	0	0	0	0	1.382289	0.1053572	1	210	0	1800
