time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude
736468	-651	944	-349	3.455757	0.1381732	-25.5056	0	11.51	4002	-103	-76	-60	-5	0.02	0.2607218	6	3	0.001	0
736600	-729	-509	812	1.712083	-0.3236757	-26.18673	0	11.51	4003	-79	-89	-21	16	0.02	0.2392027	6	3	0.001	0
736630	-863	-103	158	1.169808	-0.2068758	-26.42842	0	11.51	4002	-86	-71	-25	14	0.02	0.236757	6	3	0.001	0
736729	-10	193	-698	0.4291564	-0.9782144	-25.65073	0	11.51	4004	-93	-94	-56	6	0.02	0.2263885	6	3	0.001	0
736821	-216	168	532	0.1201696	-0.3554496	-25.25348	0	11.51	4002	-95	-75	-53	13	0.02	0.2166561	6	3	0.001	0
736936	122	453	23	-0.4314747	-0.929956	-25.76229	0	11.51	4002	-103	-78	-41	1	0.02	0.2044158	6	3	0.001	0
737053	622	61	-577	-0.05797074	-1.41922	-25.30402	0	11.51	4004	-112	-84	-62	-8	0.02	0.1833637	6	3	0.001	0
737115	1037	-60	-948	0.5507657	-1.382333	-24.58442	0	11.51	4003	0	0	0	0	0.02	0.1789269	6	3	0.001	0
737220	928	-463	-1628	2.16665	-0.5768189	-22.20888	0	11.51	4004	0	0	0	0	0.02	0.1748299	6	3	0.001	0
737390	432	-934	-1129	3.87276	1.729035	-18.72841	0	11.51	4004	0	0	0	0	0.02	0.1736881	6	3	0.001	0
737612	435	-28	-1087	6.149412	1.584278	-14.65367	0	11.46	4004	0	0	0	0	0.02	0.1570399	6	3	0.001	0
737696	-57	83	-478	6.368228	1.246419	-13.33998	0	11.46	4003	0	0	0	0	0.02	0.1516461	6	3	0.001	0
737790	158	57	-63	6.547578	1.620407	-12.89473	0	11.46	4003	0	0	0	0	0.02	0.1474267	6	3	0.001	0
737849	-134	-31	-63	6.558395	1.751266	-12.87131	0	11.46	4002	0	0	0	0	0.02	0.1469146	6	3	0.001	0
737975	-42	-147	-306	6.486859	2.087871	-12.47825	0	11.46	4003	0	0	0	0	0.02	0.1369987	6	3	0.001	0
738035	20	-74	-97	6.635004	2.1675	-12.26499	0	11.46	4003	0	0	0	0	0.02	0.1360829	6	3	0.001	0
738135	382	-66	-168	7.051653	2.543365	-11.98693	0	11.46	4011	0	0	0	0	0.02	0.1363685	3	3	0.001	0
738253	-11	-14	174	7.245348	2.888318	-12.07223	0	11.46	4003	0	0	0	0	0.02	0.1350773	3	3	0.001	0
738353	293	-296	-465	7.329108	3.102511	-11.7717	0	11.51	4004	0	0	0	0	0.02	0.1330323	3	3	0.001	0
738465	-312	172	182	7.520614	3.4073	-11.29851	0	11.51	4004	0	0	0	0	0.02	0.1314906	3	3	0.001	0
738543	-937	301	335	6.717678	3.136313	-11.67469	0	11.51	4003	0	0	0	0	0.02	0.1301928	3	3	0.001	0
738647	-214	-30	-708	6.107014	2.823665	-11.55881	0	11.51	4004	0	0	0	0	0.02	0.1252722	3	3	0.001	0
738742	354	-145	-94	6.771951	3.096855	-10.20693	0	11.51	4002	0	0	0	0	0.02	0.1218401	3	3	0.001	0
738853	-492	204	1870	4.986872	3.796326	-12.78762	0	11.51	4002	0	-6	79	0	0.02	0.1194464	3	3	0.001	0
738952	-53	263	286	3.925447	3.581832	-14.63328	0	11.51	4003	-14	-4	96	0	0.02	0.1211404	3	3	0.001	0
739057	486	593	-446	4.140604	2.810456	-14.06347	0	11.51	4004	-26	5	75	0	0.02	0.1203233	3	3	0.001	0
739169	-813	361	824	3.902502	2.045413	-14.66017	0	11.51	4004	20	0	113	0	0.02	0.1142657	3	3	0.001	0
