time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode	p_gain_altitude	i_gain_altitude	d_gain_altitude
423888	-56	0	1	-1.163525	0.4994035	34.43271	0	11.11	4003	0	0	0	0	0.02	-0.4844097	1	3	0	200
423947	-43	3	2	-1.160539	0.4974261	34.42984	0	11.11	4002	0	0	0	0	0.02	-0.4757139	1	3	0	200
424053	-56	0	3	-1.162082	0.4997625	34.42252	0	11.11	4004	0	0	0	0	0.02	-0.4633735	1	3	0	200
424168	-44	0	4	-1.158153	0.5085588	34.41422	0	11.11	4002	0	0	0	0	0.02	-0.4560617	1	3	0	200
424239	-61	-2	3	-1.16293	0.5066735	34.41037	0	11.11	4004	0	0	0	0	0.02	-0.4541779	1	3	0	200
424452	-51	2	2	-1.16489	0.5034677	34.39792	0	11.11	4004	0	0	0	0	0.02	-0.4395284	1	3	0	200
424544	-57	-2	4	-1.167507	0.5057948	34.39139	0	11.11	4003	0	0	0	0	0.02	-0.4354119	1	3	0	200
424739	-55	-2	8	-1.162358	0.5064448	34.3779	0	11.17	4004	0	0	0	0	0.02	-0.454233	1	3	0	200
424809	-53	-1	4	-1.163035	0.5032388	34.37369	0	11.17	4002	0	0	0	0	0.02	-0.469051	1	3	0	200
424850	-51	-1	9	-1.159652	0.5036989	34.37057	0	11.17	4002	0	0	0	0	0.02	-0.4789597	1	3	0	200
424938	-40	11	0	-1.154014	0.5022613	34.36453	0	11.17	4003	0	0	0	0	0.02	-0.4956678	1	3	0	200
425034	-55	-2	6	-1.154294	0.5033548	34.35831	0	11.17	4003	0	0	0	0	0.02	-0.5087494	1	3	0	200
425186	-60	0	6	-1.15175	0.4960887	34.34567	0	11.17	4004	0	0	0	0	0.02	-0.5144457	1	3	0	200
425242	-48	-4	1	-1.147364	0.49503	34.34335	0	11.17	4002	0	0	0	0	0.02	-0.5198324	1	3	0	200
425346	-44	-1	5	-1.153304	0.4979485	34.3345	0	11.17	4002	0	0	0	0	0.02	-0.5383554	1	3	0	200
425501	-50	0	4	-1.151264	0.4936591	34.32193	0	11.17	4002	0	0	0	0	0.02	-0.5447556	1	3	0	200
425553	-52	-5	4	-1.147794	0.4896457	34.31967	0	11.17	4003	0	0	0	0	0.02	-0.5443507	1	3	0	200
425664	-57	1	0	-1.151347	0.4902695	34.31418	0	11.17	4003	0	0	0	0	0.02	-0.541867	1	3	0	200
425811	-45	3	7	-1.138371	0.4920854	34.30405	0	11.17	4003	0	0	0	0	0.02	-0.5353429	1	3	0	200
425880	-49	7	5	-1.134165	0.4926554	34.30032	0	11.17	4003	0	0	0	0	0.02	-0.5349801	1	3	0	200
426008	-57	5	7	-1.128358	0.4914532	34.29221	0	11.17	4004	0	0	0	0	0.02	-0.5316064	1	3	0	200
426076	-46	3	5	-1.128044	0.4952885	34.28818	0	11.17	4003	0	0	0	0	0.02	-0.5270801	1	3	0	200
426279	-43	3	3	-1.123808	0.4977162	34.2756	0	11.17	4003	0	0	0	0	0.02	-0.5076796	1	3	0	200
426387	-49	-1	7	-1.129442	0.4977923	34.2681	0	11.17	4003	0	0	0	0	0.02	-0.4925695	1	3	0	200
426549	-48	2	4	-1.11851	0.4873101	34.25912	0	11.17	4003	0	0	0	0	0.02	-0.4820139	1	3	0	200
426575	-58	-3	7	-1.119531	0.4808799	34.25644	0	11.17	4004	0	0	0	0	0.02	-0.4792111	1	3	0	200
426673	-55	3	4	-1.124253	0.4780937	34.25003	0	11.17	4003	0	0	0	0	0.02	-0.475848	1	3	0	200
